evidence_id,thesis_area,item_type,thesis_readiness,primary_artifact,primary_artifact_exists,supporting_artifact_count,supporting_artifact_exists_count,literature_source_count,known_literature_source_count,sources_pending_full_review_count,limitation_present,allowed_wording_present,blocked_wording_present,traceability_status,thesis_use_gate_de
interpretation_h1_bounded_advantage,H1,interpretation,thesis_facing_ready,data/results/h1_poll_claim_readiness_summary.csv,True,2,2,3,3,3,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
interpretation_h1_broad_claim_not_proven,H1,interpretation,thesis_facing_ready,data/results/h1_forecast_quality_synthesis.csv,True,1,1,3,3,3,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
method_h1_brier_dm,H1,method,thesis_facing_ready,data/results/thesis_h1_summary.csv,True,3,3,4,4,4,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
interpretation_h2_daily_response,H2,interpretation,thesis_facing_ready,data/results/h2_event_window_summary.csv,True,1,1,2,2,2,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
method_h2_event_window,H2,method,thesis_facing_ready,data/results/h2_event_window_summary.csv,True,2,2,3,3,3,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
interpretation_h3_top_tier_signal,H3,interpretation,thesis_facing_ready,data/results/thesis_h3_summary.csv,True,2,2,3,3,3,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
method_h3_granger_timing,H3,method,thesis_facing_ready,data/results/h3_granger_results.csv,True,2,2,2,2,2,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
method_h3_wallet_tiers,H3,method,thesis_facing_ready,data/results/h3_wallet_distribution_inventory.json,True,2,2,3,3,3,True,True,True,draft_traceable_final_source_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Quellenreview mit Page-/Section-Notes.
interpretation_monitor_review_queue,monitor_prototype,interpretation,appendix_prototype_only,data/results/monitor_anomaly_review_summary.csv,True,2,2,2,2,2,True,True,True,appendix_traceable_pending_human_review,Nur Appendix/Prototype; keine finale Zitation ohne Human Review.
method_monitor_prototype,monitor_prototype,method,appendix_prototype_only,data/results/monitor_anomaly_review_summary.csv,True,3,3,3,3,3,True,True,True,appendix_traceable_pending_human_review,Nur Appendix/Prototype; keine finale Zitation ohne Human Review.
interpretation_swiss_gap_pending,swiss_referendum,interpretation,descriptive_pending_result,data/results/swiss_referendum_10mio_latest_source_comparison.csv,True,1,1,1,1,1,True,True,True,descriptive_traceable_result_pending,Nur beschreibend nutzen; keine finale Zitation bis Resultat- oder Review-Gate geklaert ist.
method_swiss_running_comparison,swiss_referendum,method,descriptive_pending_result,data/results/swiss_referendum_10mio_comparison.csv,True,3,3,2,2,2,True,True,True,descriptive_traceable_result_pending,Nur beschreibend nutzen; keine finale Zitation bis Resultat- oder Review-Gate geklaert ist.
