review_task_id,priority_order,source_id,source_title,review_stage,thesis_area_focus,evidence_packet_count,method_packet_count,interpretation_packet_count,local_file_registered,review_source_locator,review_focus_de,required_output_de,completion_gate_de,do_not_use_for_de
source_task_01_zotero_poly_001,1,zotero_poly_001,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,review_now_priority_1,H2; H3; monitor_prototype,4,3,1,True,https://arxiv.org/abs/2603.03136,"H2: Event-Window-Design und Tagesdaten-Limitation. H3: Wallet-Tiers, Timingdiagnostik und keine Kausalclaims. Monitor: nur Review-Workflow oder Appendix-Prototyp.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_02_zotero_poly_002,2,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,review_now_priority_1,H1; swiss_referendum,5,2,3,True,https://arxiv.org/abs/2507.08921,"H1: Forecast-Qualitaet, Brier/DM und bounded Poll-Vergleich. Swiss: begrenzte Post-Resultat-Fallstudie; Source Review und Poll-Proxy-Limitation pruefen.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_03_lit_brier_001,3,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,review_now_priority_1,H1; swiss_referendum,4,2,2,False,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,"H1: Forecast-Qualitaet, Brier/DM und bounded Poll-Vergleich. Swiss: begrenzte Post-Resultat-Fallstudie; Source Review und Poll-Proxy-Limitation pruefen.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_04_lit_emh_001,4,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,review_now_priority_1,H1; H2,4,2,2,False,https://doi.org/10.2307/2325486,"H1: Forecast-Qualitaet, Brier/DM und bounded Poll-Vergleich. H2: Event-Window-Design und Tagesdaten-Limitation.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_05_zotero_poly_005,5,zotero_poly_005,Insider Trading and Prediction Markets,review_now_priority_1,H3,3,2,1,True,https://hanson.gmu.edu/insiderbet.pdf,"H3: Wallet-Tiers, Timingdiagnostik und keine Kausalclaims.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_06_lit_dm_001,6,lit_dm_001,Comparing Predictive Accuracy,review_now_priority_1,H1,2,1,1,False,https://doi.org/10.1080/07350015.1995.10524599,"H1: Forecast-Qualitaet, Brier/DM und bounded Poll-Vergleich.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_07_lit_eventstudy_001,7,lit_eventstudy_001,Event Studies in Economics and Finance,review_now_priority_1,H2,2,1,1,False,https://www.jstor.org/stable/2729691,H2: Event-Window-Design und Tagesdaten-Limitation.,"Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_08_lit_granger_001,8,lit_granger_001,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,review_now_priority_1,H3,2,1,1,False,https://doi.org/10.2307/1912791,"H3: Wallet-Tiers, Timingdiagnostik und keine Kausalclaims.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_09_zotero_poly_006,9,zotero_poly_006,Makers and Takers: The Economics of the Kalshi Prediction Market,review_now_priority_1,future_agents; monitor_prototype,3,1,1,True,https://ssrn.com/abstract=5502658,Monitor: nur Review-Workflow oder Appendix-Prototyp. Agenten: nur Future-Work-Ausblick mit Audit-Gates.,"Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_10_zotero_poly_009,10,zotero_poly_009,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,review_now_priority_1,monitor_prototype,2,1,1,True,https://research.mintventures.fund/2024/10/09/Unveiling-Polymarket-The-Positioning-Expansion-and-Shadows-of-Crypto-Prediction-Markets,Monitor: nur Review-Workflow oder Appendix-Prototyp.,"Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_11_zotero_poly_007,11,zotero_poly_007,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,review_now_priority_1,H3,1,1,0,True,http://hdl.handle.net/20.500.11956/194870,"H3: Wallet-Tiers, Timingdiagnostik und keine Kausalclaims.","Seiten- oder Abschnittsnotiz, Claim-Support-Entscheid und Blocked-Wording-Check eintragen.",Erst nach Human Review darf die Quelle final zitiert oder als reviewed/cited markiert werden.,"Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht als Beleg fuer Kausalitaet, Profitabilitaet oder universelle Effizienz nutzen."
source_task_12_zotero_poly_010,12,zotero_poly_010,PolyBench: 5 of 7 LLMs cannot outperform market with news context,metadata_only_blocked,future_agents,1,0,0,True,not_verified,Nur Metadaten und Ausschlussgrund pruefen; nicht fuer Thesis-Claims verwenden.,Metadata-Notiz und Begruendung fuer Nicht-Verwendung dokumentieren.,"Bleibt fuer thesis-facing Claims gesperrt, bis ein separates Source-Status-Review erfolgt.",Nicht fuer automatische Quellenstatus-Hochstufung oder neue empirische Claims nutzen. Nicht fuer thesis-facing Claims nutzen.
