chapter_draft_id,thesis_area,section_id,chapter_title_de,draft_order,draft_step,draft_subsection_de,method_evidence_ids,interpretation_evidence_ids,literature_source_ids,deterministic_artifacts,selected_tables,selected_figures,selected_result_package_items,source_review_gate_de,chapter_paragraph_de,mandatory_limitation_de,blocked_wording_de,future_agent_boundary_de,draft_status,ready_for_bounded_draft,ready_for_final_submission
chapter_draft_h1_01_method_setup,H1,core_section_h1,H1: Prognosequalitaet,1,method_setup,Methodischer Ansatz,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.",Im Abschnitt `H1: Prognosequalitaet` wird H1 ueber die Methode `method_h1_brier_dm` aufgebaut. Die Methode ist an die Literatur-IDs `lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002` und an deterministische Artefakte gebunden: `data/results/thesis_h1_summary.csv`; `data/results/h1_poll_claim_readiness_summary.csv`; `data/results/h1_forecast_quality_synthesis.csv`; `data/results/h1_brier_scores.csv`; plus 5 weitere gemappte Artefakte. Die Interpretation wird noch nicht erweitert; sie bleibt an die Evidence-IDs `interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven` und an das Source-Review-Gate gebunden.,"Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_method_setup,True,False
chapter_draft_h1_02_result_statement,H1,core_section_h1,H1: Prognosequalitaet,2,result_statement,Resultatabschnitt,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Der Resultatabschnitt nutzt ausschliesslich den vorbereiteten Textseed: H1 wird als zweigeteiltes Resultat geschrieben: begrenzter Support im Poll-Vergleichsscope mit `262/285 state-date rows (91.9%) lower Brier loss for Polymarket`; zugleich bleibt die breite Ueberlegenheitsbehauptung mit `7/9 aggregate rows support Polymarket; 3/9 majority-case rows support Polymarket; 0/9 broad rows prove the claim; 5 audit rows contradict the strong claim` nicht bewiesen. Diese Aussage ist das thesis-ready Ergebnis fuer H1 und wird nicht durch neue Kennzahlen, Rohartefakt-Dumps oder zusaetzliche Tabellen erweitert.","Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_result_statement,True,False
chapter_draft_h1_03_interpretation_boundary,H1,core_section_h1,H1: Prognosequalitaet,3,interpretation_boundary,Interpretationsgrenze,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Die Interpretation fuer H1 lautet begrenzt: Polymarket darf nur in klar definierten Vergleichsscopes als besser gestuetzt beschrieben werden; die Gesamtaussage bleibt gemischt. Die zentrale Limitation ist: Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. Diese Grenze verhindert Universal-, Intraday-, Kausalitaets-, Private-Information-, Profitabilitaets- oder Tradeability-Claims.","Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_interpretation_boundary,True,False
chapter_draft_h1_04_table_figure_integration,H1,core_section_h1,H1: Prognosequalitaet,4,table_figure_integration,Tabellen- und Figurenintegration,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Die Ergebnisdarstellung fuer H1 nutzt nur die kuratierten Package-Items T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.. Caption, Artefaktpfad und Limitation werden aus der Caption Registry uebernommen. Damit bleibt die Darstellung kompakt: wenige gute Tabellen und Figuren statt vieler Rohartefakte.","Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_table_figure_integration,True,False
chapter_draft_h1_05_source_review_and_citation_gate,H1,core_section_h1,H1: Prognosequalitaet,5,source_review_and_citation_gate,Source-Review- und Zitationsgate,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Das Zitationsgate fuer H1 bleibt sichtbar: H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren. Im Handoff stehen 10 Source-Review-Zeilen, davon 10 pending und 0 final-ready. Keine finale Zitation und keine Quellenstatus-Hochstufung erfolgen aus diesem Draft.","Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",final_blocked_source_review_pending,True,False
chapter_draft_h1_06_future_agent_boundary,H1,core_section_h1,H1: Prognosequalitaet,6,future_agent_boundary,Future-Agent-Grenze,method_h1_brier_dm,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,data/results/thesis_h1_summary.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv; data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv; data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness.png,T2,F1,T2 (tab:t2): H1: Prognosequalitaet und Poll-Vergleich -> data/results/thesis_core_results_table.csv; Limitation: Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | F1 (fig:f1): H1: Claim-Readiness des Poll-Vergleichs -> data/results/h1_poll_claim_readiness.png; Limitation: Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Die Agenten-Grenze fuer H1 bleibt Future Work: Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log. Der Abschnitt darf nur als Pipeline-Ausblick formuliert werden; keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, kein Rohdaten-Prompt und keine Trading-Pfade.","Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.",Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",future_documentation_only_no_runtime_activation,True,False
chapter_draft_h2_01_method_setup,H2,core_section_h2,H2: Tagesbasierte Ereignisfenster,1,method_setup,Methodischer Ansatz,method_h2_event_window,interpretation_h2_daily_response,lit_eventstudy_001; lit_emh_001; zotero_poly_001,data/results/h2_event_window_summary.csv; data/events_timeline_seed.csv; data/results/h2_event_window_rows.csv; data/results/thesis_h2_summary.csv; data/results/thesis_h2_event_window_car.png,T3,F2,T3 (tab:t3): H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse -> data/results/h2_event_window_summary.csv; Limitation: Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | F2 (fig:f2): H2: Tagesbewegungen in kuratierten Ereignisfenstern -> data/results/thesis_h2_event_window_car.png; Limitation: Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.,"H2: 5 Source-Review-Zeilen im Ledger; 5 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.",Im Abschnitt `H2: Tagesbasierte Ereignisfenster` wird H2 ueber die Methode `method_h2_event_window` aufgebaut. Die Methode ist an die Literatur-IDs `lit_eventstudy_001; lit_emh_001; zotero_poly_001` und an deterministische Artefakte gebunden: `data/results/h2_event_window_summary.csv`; `data/events_timeline_seed.csv`; `data/results/h2_event_window_rows.csv`; `data/results/thesis_h2_summary.csv`; plus 1 weiteres gemapptes Artefakt. Die Interpretation wird noch nicht erweitert; sie bleibt an die Evidence-IDs `interpretation_h2_daily_response` und an das Source-Review-Gate gebunden.,"Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. | Richtung und Groesse sind Ereignisfensterdiagnostik, keine Intraday-Kausalschaetzung. | Tagesdaten stuetzen keine Intraday-Reaktionsgeschwindigkeitsclaims. | Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.",Intraday-Geschwindigkeitsaussage | post-hoc Ereignisauswahl | sofortige Marktreaktion | kausaler Ereignisbeweis,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_method_setup,True,False
chapter_draft_h2_02_result_statement,H2,core_section_h2,H2: Tagesbasierte Ereignisfenster,2,result_statement,Resultatabschnitt,method_h2_event_window,interpretation_h2_daily_response,lit_eventstudy_001; lit_emh_001; zotero_poly_001,data/results/h2_event_window_summary.csv; data/events_timeline_seed.csv; data/results/h2_event_window_rows.csv; data/results/thesis_h2_summary.csv; data/results/thesis_h2_event_window_car.png,T3,F2,T3 (tab:t3): H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse -> data/results/h2_event_window_summary.csv; Limitation: Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | F2 (fig:f2): H2: Tagesbewegungen in kuratierten Ereignisfenstern -> data/results/thesis_h2_event_window_car.png; Limitation: Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.,"H2: 5 Source-Review-Zeilen im Ledger; 5 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Der Resultatabschnitt nutzt ausschliesslich den vorbereiteten Textseed: H2 berichtet eine sichtbare Tagesbewegung im kuratierten Ereignisfenster: `evt_2024_07_13_trump_shooting 7.2 pp`. Das ist ein Tagesfensterbefund, kein Intraday-Speed-Test. Diese Aussage ist das thesis-ready Ergebnis fuer H2 und wird nicht durch neue Kennzahlen, Rohartefakt-Dumps oder zusaetzliche Tabellen erweitert.","Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. | Richtung und Groesse sind Ereignisfensterdiagnostik, keine Intraday-Kausalschaetzung. | Tagesdaten stuetzen keine Intraday-Reaktionsgeschwindigkeitsclaims. | Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.",Intraday-Geschwindigkeitsaussage | post-hoc Ereignisauswahl | sofortige Marktreaktion | kausaler Ereignisbeweis,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_result_statement,True,False
chapter_draft_h2_03_interpretation_boundary,H2,core_section_h2,H2: Tagesbasierte Ereignisfenster,3,interpretation_boundary,Interpretationsgrenze,method_h2_event_window,interpretation_h2_daily_response,lit_eventstudy_001; lit_emh_001; zotero_poly_001,data/results/h2_event_window_summary.csv; data/events_timeline_seed.csv; data/results/h2_event_window_rows.csv; data/results/thesis_h2_summary.csv; data/results/thesis_h2_event_window_car.png,T3,F2,T3 (tab:t3): H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse -> data/results/h2_event_window_summary.csv; Limitation: Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | F2 (fig:f2): H2: Tagesbewegungen in kuratierten Ereignisfenstern -> data/results/thesis_h2_event_window_car.png; Limitation: Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.,"H2: 5 Source-Review-Zeilen im Ledger; 5 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Die Interpretation fuer H2 lautet begrenzt: Die Ergebnisse zeigen oeffentliche Ereignisreaktionen im Tagesraster, aber keine minutengenaue oder kausale Informationsverarbeitung. Die zentrale Limitation ist: Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. Diese Grenze verhindert Universal-, Intraday-, Kausalitaets-, Private-Information-, Profitabilitaets- oder Tradeability-Claims.","Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. | Richtung und Groesse sind Ereignisfensterdiagnostik, keine Intraday-Kausalschaetzung. | Tagesdaten stuetzen keine Intraday-Reaktionsgeschwindigkeitsclaims. | Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.",Intraday-Geschwindigkeitsaussage | post-hoc Ereignisauswahl | sofortige Marktreaktion | kausaler Ereignisbeweis,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_interpretation_boundary,True,False
chapter_draft_h2_04_table_figure_integration,H2,core_section_h2,H2: Tagesbasierte Ereignisfenster,4,table_figure_integration,Tabellen- und Figurenintegration,method_h2_event_window,interpretation_h2_daily_response,lit_eventstudy_001; lit_emh_001; zotero_poly_001,data/results/h2_event_window_summary.csv; data/events_timeline_seed.csv; data/results/h2_event_window_rows.csv; data/results/thesis_h2_summary.csv; data/results/thesis_h2_event_window_car.png,T3,F2,T3 (tab:t3): H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse -> data/results/h2_event_window_summary.csv; Limitation: Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | F2 (fig:f2): H2: Tagesbewegungen in kuratierten Ereignisfenstern -> data/results/thesis_h2_event_window_car.png; Limitation: Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.,"H2: 5 Source-Review-Zeilen im Ledger; 5 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.","Die Ergebnisdarstellung fuer H2 nutzt nur die kuratierten Package-Items T3 (tab:t3): H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse -> data/results/h2_event_window_summary.csv; Limitation: Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | F2 (fig:f2): H2: Tagesbewegungen in kuratierten Ereignisfenstern -> data/results/thesis_h2_event_window_car.png; Limitation: Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.. Caption, Artefaktpfad und Limitation werden aus der Caption Registry uebernommen. Damit bleibt die Darstellung kompakt: wenige gute Tabellen und Figuren statt vieler Rohartefakte.","Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. | Richtung und Groesse sind Ereignisfensterdiagnostik, keine Intraday-Kausalschaetzung. | Tagesdaten stuetzen keine Intraday-Reaktionsgeschwindigkeitsclaims. | Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.",Intraday-Geschwindigkeitsaussage | post-hoc Ereignisauswahl | sofortige Marktreaktion | kausaler Ereignisbeweis,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",bounded_draft_ready_table_figure_integration,True,False
