packet_id,source_id,source_status,source_title,final_citation_readiness,citation_risk,evidence_id,thesis_area,item_type,claim_or_decision,primary_artifact,allowed_wording,blocked_wording,main_limitation,review_question,required_check,draft_use_allowed,final_citation_gate,reviewer_page_or_section_note,reviewer_decision,reviewer_notes
lit_brier_001__interpretation_h1_bounded_advantage,lit_brier_001,skimmed,Verification of Forecasts Expressed in Terms of Probability,needs_full_source_review_before_final_citation,medium,interpretation_h1_bounded_advantage,H1,interpretation,A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.,data/results/h1_poll_claim_readiness_summary.csv,bounded H1 support in defined scope,Polymarket is always better; many-election proof; causal explanation,The full state-date panel and other scopes remain counterexamples to the broad claim.,Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'Polymarket is always better; many-election proof; causal explanation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_dm_001__interpretation_h1_bounded_advantage,lit_dm_001,skimmed,Comparing Predictive Accuracy,needs_full_source_review_before_final_citation,medium,interpretation_h1_bounded_advantage,H1,interpretation,A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.,data/results/h1_poll_claim_readiness_summary.csv,bounded H1 support in defined scope,Polymarket is always better; many-election proof; causal explanation,The full state-date panel and other scopes remain counterexamples to the broad claim.,Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'Polymarket is always better; many-election proof; causal explanation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_002__interpretation_h1_bounded_advantage,zotero_poly_002,skimmed,Are Betting Markets Better than Polling in Predicting Political Elections?,needs_full_source_review_before_final_citation,medium,interpretation_h1_bounded_advantage,H1,interpretation,A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.,data/results/h1_poll_claim_readiness_summary.csv,bounded H1 support in defined scope,Polymarket is always better; many-election proof; causal explanation,The full state-date panel and other scopes remain counterexamples to the broad claim.,Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'Polymarket is always better; many-election proof; causal explanation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_brier_001__interpretation_h1_broad_claim_not_proven,lit_brier_001,skimmed,Verification of Forecasts Expressed in Terms of Probability,needs_full_source_review_before_final_citation,medium,interpretation_h1_broad_claim_not_proven,H1,interpretation,The broad claim that Polymarket generally beats traditional sources is not proven.,data/results/h1_forecast_quality_synthesis.csv,mixed H1 evidence; broad superiority not proven,general superiority; universal forecast dominance,"The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.",Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'general superiority; universal forecast dominance'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_002__interpretation_h1_broad_claim_not_proven,zotero_poly_002,skimmed,Are Betting Markets Better than Polling in Predicting Political Elections?,needs_full_source_review_before_final_citation,medium,interpretation_h1_broad_claim_not_proven,H1,interpretation,The broad claim that Polymarket generally beats traditional sources is not proven.,data/results/h1_forecast_quality_synthesis.csv,mixed H1 evidence; broad superiority not proven,general superiority; universal forecast dominance,"The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.",Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'general superiority; universal forecast dominance'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_emh_001__interpretation_h1_broad_claim_not_proven,lit_emh_001,skimmed,Efficient Capital Markets: A Review of Theory and Empirical Work,needs_full_source_review_before_final_citation,medium,interpretation_h1_broad_claim_not_proven,H1,interpretation,The broad claim that Polymarket generally beats traditional sources is not proven.,data/results/h1_forecast_quality_synthesis.csv,mixed H1 evidence; broad superiority not proven,general superiority; universal forecast dominance,"The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.",Does this source support the interpretation boundary for H1 without extending beyond deterministic artifact evidence or implying 'general superiority; universal forecast dominance'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_brier_001__method_h1_brier_dm,lit_brier_001,skimmed,Verification of Forecasts Expressed in Terms of Probability,needs_full_source_review_before_final_citation,medium,method_h1_brier_dm,H1,method,Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.,data/results/thesis_h1_summary.csv,forecast-quality comparison; lower Brier loss in the tested overlap window,reaction speed proof; broad market superiority proof; RCP probability claim without transformation,Repeated daily rows and one election context limit generalisation.,Does this source justify the H1 method choice 'Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.' and support the allowed wording 'forecast-quality comparison; lower Brier loss in the tested overlap window' without implying 'reaction speed proof; broad market superiority proof; RCP probability claim without transformation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_dm_001__method_h1_brier_dm,lit_dm_001,skimmed,Comparing Predictive Accuracy,needs_full_source_review_before_final_citation,medium,method_h1_brier_dm,H1,method,Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.,data/results/thesis_h1_summary.csv,forecast-quality comparison; lower Brier loss in the tested overlap window,reaction speed proof; broad market superiority proof; RCP probability claim without transformation,Repeated daily rows and one election context limit generalisation.,Does this source justify the H1 method choice 'Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.' and support the allowed wording 'forecast-quality comparison; lower Brier loss in the tested overlap window' without implying 'reaction speed proof; broad market superiority proof; RCP probability claim without transformation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_emh_001__method_h1_brier_dm,lit_emh_001,skimmed,Efficient Capital Markets: A Review of Theory and Empirical Work,needs_full_source_review_before_final_citation,medium,method_h1_brier_dm,H1,method,Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.,data/results/thesis_h1_summary.csv,forecast-quality comparison; lower Brier loss in the tested overlap window,reaction speed proof; broad market superiority proof; RCP probability claim without transformation,Repeated daily rows and one election context limit generalisation.,Does this source justify the H1 method choice 'Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.' and support the allowed wording 'forecast-quality comparison; lower Brier loss in the tested overlap window' without implying 'reaction speed proof; broad market superiority proof; RCP probability claim without transformation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_002__method_h1_brier_dm,zotero_poly_002,skimmed,Are Betting Markets Better than Polling in Predicting Political Elections?,needs_full_source_review_before_final_citation,medium,method_h1_brier_dm,H1,method,Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.,data/results/thesis_h1_summary.csv,forecast-quality comparison; lower Brier loss in the tested overlap window,reaction speed proof; broad market superiority proof; RCP probability claim without transformation,Repeated daily rows and one election context limit generalisation.,Does this source justify the H1 method choice 'Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.' and support the allowed wording 'forecast-quality comparison; lower Brier loss in the tested overlap window' without implying 'reaction speed proof; broad market superiority proof; RCP probability claim without transformation'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
