package_id,package_type,thesis_label,caption_de,primary_artifact,supporting_artifacts,evidence_ids,source_note_de,interpretation_note_de,limitation_note_de,recommended_placement,include_in_core_package,thesis_readiness
A1,appendix_artifact,app:a1,Deferred agent pipeline design,docs/research/THESIS_CONSOLIDATION.md,docs/research/STRATEGY_AGENT_ARCHITECTURE.md,future_agent_pipeline_guarded,Quelle: `docs/research/THESIS_CONSOLIDATION.md`.,"Agents may later improve review and drafting, but only over bounded audited summaries.",No runtime agents or MCP implementation belongs in the current thesis core.,appendix_or_future_work,False,future_work_deferred
F1,figure,fig:f1,H1: Claim-Readiness des Poll-Vergleichs,data/results/h1_poll_claim_readiness.png,data/results/h1_poll_claim_readiness_summary.csv,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,Die Abbildung zeigt den unterstuetzten begrenzten H1-Scope und Gegenbeispiele zur breiten Behauptung.,"Die Abbildung hilft, die H1-Aussage begrenzt statt pauschal zu formulieren.",Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.,main_text,True,thesis_facing_ready
F2,figure,fig:f2,H2: Tagesbewegungen in kuratierten Ereignisfenstern,data/results/thesis_h2_event_window_car.png,data/results/h2_event_window_summary.csv,method_h2_event_window; interpretation_h2_daily_response,Die Abbildung visualisiert die H2-Bewegungen aus `h2_event_window_summary.csv`.,"Sie zeigt, welche Ereignisfenster im Tagesraster die groessten Bewegungen aufweisen.",Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.,main_text,True,thesis_facing_ready
F3,figure,fig:f3,H3: Granger-Diagnostik nach Wallet-Tier und Lag,data/results/thesis_h3_granger_pvalues.png,data/results/h3_granger_results.csv,method_h3_granger_timing; interpretation_h3_top_tier_signal,Die Abbildung visualisiert p-Werte der H3-Granger-Diagnostik fuer erfolgreiche Tests.,"Sie macht sichtbar, wo die Timingdiagnostik am staerksten ausfaellt.","Granger-Diagnostik ist kein Kausalitaets-, private-information- oder Profitabilitaetsnachweis.",main_text,True,thesis_facing_ready
F4,figure,fig:f4,Schweizer 10-Millionen-Initiative: laufender Poll-Proxy-Vergleich,data/results/swiss_referendum_10mio_final_case_study.png,data/results/swiss_referendum_10mio_final_case_study.csv; data/results/swiss_referendum_10mio_live_accuracy_windows.csv; data/results/swiss_referendum_10mio_history_accuracy_windows.csv; data/results/swiss_referendum_10mio_poll_accuracy.csv,method_swiss_running_comparison; interpretation_swiss_gap_pending,Die Abbildung zeigt den laufenden Vergleich von Polymarket-Snapshots mit kuratierten Poll-Proxies.,Sie dient als beschreibender Side-Track bis zum offiziellen Abstimmungsresultat.,Poll-Anteile sind keine echten Gewinnwahrscheinlichkeiten und erlauben vor dem Resultat keine finale Effizienzaussage.,discussion_bounded_final_case,True,post_result_mapped_bounded
T1,table,tab:t1,"Methoden-, Quellen- und Evidenzkarte der Thesis",data/results/thesis_evidence_map.csv,data/literature/literature_index.csv; docs/research/RESEARCH_SPEC.md,method_h1_brier_dm; method_h2_event_window; method_h3_wallet_tiers; method_h3_granger_timing,"Diese Tabelle verknuepft zentrale Methoden und Interpretationen mit Evidence-IDs, Artefakten und Quellenstatus.","Die Tabelle zeigt die Nachvollziehbarkeit der Argumentation, nicht neue empirische Ergebnisse.",Einige Quellen sind noch nicht final zitierbereit und muessen gemaess Citation-Review-Paketen geprueft werden.,main_text,True,thesis_facing_ready
T2,table,tab:t2,H1: Prognosequalitaet und Poll-Vergleich,data/results/thesis_core_results_table.csv,data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv,method_h1_brier_dm; interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,Diese Tabelle fasst den begrenzten H1-Support und die Grenze der breiten Ueberlegenheitsbehauptung zusammen.,Polymarket wird nur fuer klar definierte Vergleichsscopes als unterstuetzt beschrieben.,Vergleichseinheiten und Poll-Transformationen bleiben heterogen.,main_text,True,thesis_facing_ready
T3,table,tab:t3,H2: Tagesbasierte Ereignisfenster um kuratierte oeffentliche Ereignisse,data/results/h2_event_window_summary.csv,data/results/thesis_h2_summary.csv,method_h2_event_window; interpretation_h2_daily_response,Diese Tabelle berichtet die deterministischen H2-Ereignisfensterwerte aus den vorab kuratierten Events.,"Die Werte zeigen Tagesbewegungen um Ereignisse, keine Intraday-Reaktionsgeschwindigkeit.",Eventauswahl und Tagesfrequenz begrenzen die Interpretation.,main_text,True,thesis_facing_ready
T4,table,tab:t4,H3: Wallet-Tiers und Timingdiagnostik,data/results/thesis_h3_summary.csv,data/results/h3_granger_results.csv; data/results/h3_lead_lag_correlations.csv,method_h3_wallet_tiers; method_h3_granger_timing; interpretation_h3_top_tier_signal,"Diese Tabelle fasst dataset-relative Wallet-Tiers, Korrelationen und Granger-Diagnostik zusammen.",Die Tabelle unterstuetzt eine vorsichtige Timingdiagnostik fuer das oberste Tier.,"BUY-only-Quelle, taegliche Aggregation und Mehrfachtests begrenzen die Aussage.",main_text,True,thesis_facing_ready
T5,table,tab:t5,Statusgrenzen fuer Monitor-Prototyp und Schweizer Abstimmungstrack,data/results/thesis_core_results_table.csv,data/results/monitor_anomaly_review_summary.csv; data/results/swiss_referendum_10mio_final_case_study.csv,method_monitor_prototype; interpretation_monitor_review_queue; method_swiss_running_comparison; interpretation_swiss_gap_pending,Diese Tabelle trennt Appendix-/Prototypmaterial und pending Swiss-Ergebnisse vom H1-H3-Kern.,"Monitor und Swiss sind nuetzliche Erweiterungen, aber noch keine finalen Kernergebnisse.",Monitor-Faelle brauchen Human Review; Swiss braucht das offizielle Resultat.,appendix_or_discussion,True,mixed_appendix_and_bounded
