sequence_id,priority_order,workstream_id,thesis_section,readiness_gate_area,current_status,draft_permission,primary_artifact,supporting_count,writing_action_de,acceptance_evidence_de,blocker_or_gate_de,must_not_claim_de
draft_01_01_source_review,1,work_01_source_review,theory_literature_and_methods,source_review,final_blocked_source_review,review_now_final_blocked,data/results/thesis_source_review_plan.csv; data/results/thesis_source_review_execution.csv,11,Review the 11 priority-1 method-foundation sources and record page or section notes. Gate-Aktion: Priority-1-Quellen mit Seiten- oder Abschnittsnotizen reviewen.,All priority-1 rows have reviewer page or section notes and status decisions are updated by a human. Statusnachweis: final_blocked_source_review.,Full source review is completed for method and core interpretation sources. Gate: 11 Priority-1-Quellen und 1 blocked/future-only Quelle bleiben Gate.,Quellenstatus nicht automatisch hochstufen und keine finale Zitation ohne Human Review.
draft_02_02_method_chapters,2,work_02_method_chapters,chapters_01_to_03,chapter_source_mapping,ready_for_draft,write_now_bounded,data/results/thesis_chapter_plan.csv; data/results/thesis_chapter_source_bindings.csv,8,"Use the 8 chapter-plan rows to draft the front matter and methods chapters. Gate-Aktion: Kapitel entlang Evidence IDs, Quellen, Tabellen/Figuren und Gates schreiben.",Each method paragraph names a deterministic artifact and a reviewed or pending-reviewed source boundary. Statusnachweis: ready_for_draft.,"Core method source review is at least page-note complete. Gate: Finale Claims erst nach Human Review, Artefaktverweis, Limitation und Wording Guard.","Keine Methodenbehauptung ohne deterministisches Artefakt, reviewte Quelle oder sichtbaren Pending-Status."
draft_03_03_h1_results,3,work_03_h1_results,h1_results,h1_h2_h3_results,ready_for_bounded_result_draft,write_now_bounded,data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness_summary.csv,3,"Write H1 as bounded Polymarket support plus explicit broad-claim boundary. Gate-Aktion: H1 bounded, H2 daily event-window, H3 timing diagnostics schreiben.","The chapter states supported scope, counterexample scopes, and why the broad claim remains not proven. Statusnachweis: ready_for_bounded_result_draft.","No blocker for draft; final citation wording waits for source review. Gate: Keine universelle Effizienz-, Intraday-, Kausalitaets- oder Profitabilitaetsclaims.",Keine universelle Polymarket-Ueberlegenheit und keine RCP-Wahrscheinlichkeitsclaims.
draft_04_04_h2_h3_results,4,work_04_h2_h3_results,h2_h3_results,h1_h2_h3_results,ready_for_bounded_result_draft,write_now_bounded,data/results/h2_event_window_summary.csv; data/results/thesis_h3_summary.csv; data/results/thesis_core_results_table.csv,3,"Draft H2 as daily event-window response and H3 as wallet-tier timing diagnostics. Gate-Aktion: H1 bounded, H2 daily event-window, H3 timing diagnostics schreiben.","Both chapters include the main deterministic result, artifact path, and limitation paragraph. Statusnachweis: ready_for_bounded_result_draft.","No blocker for draft; sensitivity and final wording can be refined after source review. Gate: Keine universelle Effizienz-, Intraday-, Kausalitaets- oder Profitabilitaetsclaims.","Keine Intraday-Speed-, Granger-Kausalitaets-, Private-Information- oder Profitabilitaetsclaims."
draft_05_05_table_figure_integration,5,work_05_table_figure_integration,results_and_appendix,table_figure_package,ready_for_draft_integration,write_now_bounded,data/results/thesis_table_figure_captions.csv,9,Use 5 core tables and 4 core figures with the generated captions and limitation notes. Gate-Aktion: 5 Kern-Tabellen und 4 Kern-Figuren mit Captions integrieren.,"Every inserted table or figure has label, source artifact, interpretation note, and limitation note. Statusnachweis: ready_for_draft_integration.",No blocker for draft; final numbering waits for thesis layout. Gate: Keine Rohartefakt-Dumps in den Haupttext aufnehmen.,Keine Rohartefakt-Dumps und keine neuen Tabellen/Figuren ohne Evidence-Map-Update.
draft_06_06_monitor_appendix,6,work_06_monitor_appendix,appendix_or_discussion,monitor_appendix,appendix_only_pending_human_review,appendix_only_pending_review,data/results/monitor_anomaly_review_summary.csv,1,Mention monitor only as read-only prototype and review workflow. Gate-Aktion: Monitor nur als read-only Prototyp und Review-Workflow erwaehnen.,"Monitor text says review cases are cues, not causal, trading, or thesis-facing efficiency proof. Statusnachweis: appendix_only_pending_human_review.","Human source review of monitor cases exists. Gate: Keine Wallet-Adress-Exposition, keine Order-/Trading-Pfade, keine Kausalclaims.","Review-Access bleibt pausiert; keine Wallet-Adress-Exposition, keine Order-/Trading-Pfade und keine thesis-facing Alert-Evidenz."
draft_07_07_swiss_result_gate,7,work_07_swiss_result_gate,discussion_bounded_final_case,swiss_result_gate,post_result_mapped_source_review_pending,write_now_bounded,data/results/swiss_referendum_10mio_final_case_study.csv; docs/research/SWISS_REFERENDUM_FINAL_CASE_STUDY.md,1,Use the official 14 June 2026 vote result and deterministic final-case metrics for a bounded Swiss side-case paragraph. Gate-Aktion: Swiss-Fallstudie als begrenzten Post-Resultat-Side-Track schreiben.,"The paragraph separates vote-share accuracy, binary outcome proxy, and the poll-share limitation. Statusnachweis: post_result_mapped_source_review_pending.",Manual Source Review and final citation wording are complete. Gate: Poll-Anteile sind keine Gewinnwahrscheinlichkeiten; finale Zitation wartet auf Source Review.,"Offizielles Resultat vom 14. Juni 2026 ist gemappt; keine Effizienz-, Mispricing-, Tradeability- oder Vote-Share-Superiority-Claims."
draft_08_08_agent_outlook,8,work_08_agent_outlook,future_work,agent_future_work,deferred_future_work_only,future_work_only,data/results/thesis_agent_assistance_protocol.csv; data/results/thesis_agent_future_work_handoff.csv,7,Use the 7 protocol rows only as a future-work design section. Gate-Aktion: Nur als Future-Work-Ausblick verwenden.,The thesis names useful future roles but states activation gates and blocked actions. Statusnachweis: deferred_future_work_only.,"Separate approved goal, llm_audit_log integration, bounded prompts, and tests exist. Gate: Keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken und keine Trading-Pfade.","Keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken und keine Trading-Pfade."
draft_09_09_advisor_iteration,9,work_09_advisor_iteration,project_management,advisor_handoff,ready_for_advisor_discussion,advisor_discussion_now,docs/project/dozentenbericht_ba_thesis.docx; data/results/thesis_advisor_handoff_package.csv,12,"Ask the advisor to approve the bounded H1 wording, source-review depth, Swiss placement, and appendix scope. Gate-Aktion: Dozentenbericht und Absprache-Checklist zuerst verwenden.",Advisor feedback is logged and translated into a small next commit plan. Statusnachweis: ready_for_advisor_discussion.,"Advisor feedback is received. Gate: DOCX-Render-QA bleibt lokal blockiert, wenn LibreOffice/soffice fehlt.","Keinen Scope-Ausbau starten, bevor der H1-H2-H3-Kern geschrieben und abgestimmt ist."
draft_10_10_final_qa,10,work_10_final_qa,whole_thesis,final_qa,pending_after_draft,qa_after_draft,STATUS.md; docs/project/WORK_LOG.md,2,"Run full tests, review checks, citation checks, table/figure checks, and Swiss spelling scan before export. Gate-Aktion: Nach Draft: Tests, review_check, citation review, spelling scan und DOCX render gate wiederholen.","Review checks pass, final citations are approved, and the thesis export has no unsupported claims. Statusnachweis: pending_after_draft.","Draft chapters, source review, and final result gates are complete. Gate: Repository nicht als final abgabebereit markieren, solange Source Review oder Render-QA offen sind.","Keine finale Abgabebereitschaft behaupten, solange Source Review, Swiss-Gate oder DOCX-Render-QA offen sind."
