guide_id,guide_order,thesis_area,source_id,evidence_id,item_type,worksheet_id,ledger_id,note_id,access_route,review_source_locator,deterministic_artifact,selected_table,selected_figure,current_ledger_review_status,current_ledger_progress_state,current_ledger_citation_use_decision,ledger_match_status,allowed_ledger_fields,fill_sequence_de,page_section_note_instruction_de,claim_support_instruction_de,blocked_wording_instruction_de,citation_use_instruction_de,reviewer_metadata_instruction_de,preservation_check_de,final_gate_de,blocked_actions_de,ready_for_manual_ledger_entry,ready_for_final_release
h1_ledger_fill_01_lit_brier_001__method_h1_brier_dm,1,H1,lit_brier_001,method_h1_brier_dm,method,h1_source_review_01_lit_brier_001__method_h1_brier_dm,ledger_h1_lit_brier_001__method_h1_brier_dm,note_h1_lit_brier_001__method_h1_brier_dm,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_02_lit_brier_001__interpretation_h1_bounded_advantage,2,H1,lit_brier_001,interpretation_h1_bounded_advantage,interpretation,h1_source_review_02_lit_brier_001__interpretation_h1_bounded_advantage,ledger_h1_lit_brier_001__interpretation_h1_bounded_advantage,note_h1_lit_brier_001__interpretation_h1_bounded_advantage,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_03_lit_brier_001__interpretation_h1_broad_claim_not_proven,3,H1,lit_brier_001,interpretation_h1_broad_claim_not_proven,interpretation,h1_source_review_03_lit_brier_001__interpretation_h1_broad_claim_not_proven,ledger_h1_lit_brier_001__interpretation_h1_broad_claim_not_proven,note_h1_lit_brier_001__interpretation_h1_broad_claim_not_proven,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_04_lit_dm_001__method_h1_brier_dm,4,H1,lit_dm_001,method_h1_brier_dm,method,h1_source_review_04_lit_dm_001__method_h1_brier_dm,ledger_h1_lit_dm_001__method_h1_brier_dm,note_h1_lit_dm_001__method_h1_brier_dm,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_dm_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_05_lit_dm_001__interpretation_h1_bounded_advantage,5,H1,lit_dm_001,interpretation_h1_bounded_advantage,interpretation,h1_source_review_05_lit_dm_001__interpretation_h1_bounded_advantage,ledger_h1_lit_dm_001__interpretation_h1_bounded_advantage,note_h1_lit_dm_001__interpretation_h1_bounded_advantage,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_dm_001` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_06_lit_emh_001__method_h1_brier_dm,6,H1,lit_emh_001,method_h1_brier_dm,method,h1_source_review_06_lit_emh_001__method_h1_brier_dm,ledger_h1_lit_emh_001__method_h1_brier_dm,note_h1_lit_emh_001__method_h1_brier_dm,external_locator_review,https://doi.org/10.2307/2325486,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_emh_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_07_lit_emh_001__interpretation_h1_broad_claim_not_proven,7,H1,lit_emh_001,interpretation_h1_broad_claim_not_proven,interpretation,h1_source_review_07_lit_emh_001__interpretation_h1_broad_claim_not_proven,ledger_h1_lit_emh_001__interpretation_h1_broad_claim_not_proven,note_h1_lit_emh_001__interpretation_h1_broad_claim_not_proven,external_locator_review,https://doi.org/10.2307/2325486,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_emh_001` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_08_zotero_poly_002__method_h1_brier_dm,8,H1,zotero_poly_002,method_h1_brier_dm,method,h1_source_review_08_zotero_poly_002__method_h1_brier_dm,ledger_h1_zotero_poly_002__method_h1_brier_dm,note_h1_zotero_poly_002__method_h1_brier_dm,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_09_zotero_poly_002__interpretation_h1_bounded_advantage,9,H1,zotero_poly_002,interpretation_h1_bounded_advantage,interpretation,h1_source_review_09_zotero_poly_002__interpretation_h1_bounded_advantage,ledger_h1_zotero_poly_002__interpretation_h1_bounded_advantage,note_h1_zotero_poly_002__interpretation_h1_bounded_advantage,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
h1_ledger_fill_10_zotero_poly_002__interpretation_h1_broad_claim_not_proven,10,H1,zotero_poly_002,interpretation_h1_broad_claim_not_proven,interpretation,h1_source_review_10_zotero_poly_002__interpretation_h1_broad_claim_not_proven,ledger_h1_zotero_poly_002__interpretation_h1_broad_claim_not_proven,note_h1_zotero_poly_002__interpretation_h1_broad_claim_not_proven,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending_manual_review,blocked_pending_manual_review,matched_h1_worksheet_to_ledger,review_status; page_or_section_note; claim_support_decision; blocked_wording_check; citation_use_decision; reviewed_by; reviewed_at; review_comment_de,"1 Page-/Section-Note erfassen; 2 Claim-Support entscheiden; 3 Blocked-Wording pruefen; 4 Citation-Use setzen; 5 reviewed_by, reviewed_at und review_comment_de dokumentieren; 6 Ledger regenerieren und preserved_manual_fields pruefen.",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Nach manueller Eingabe `operations.project.build_source_review_progress_ledger` regenerieren; geaenderte rows muessen `preserved_manual_fields=True` und einen passenden `review_progress_state` behalten.,Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe. Ledger-Fill ist manual-only: keine erfundene Page-/Section-Note, keine automatische Claim-Support-Entscheidung, keine finale Zitation, keine Quellenstatus-Hochstufung, keine Rohartefakt-Dumps, keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.",True,False
