package_order,deliverable_id,path,handoff_use_de,advisor_decision_de,boundary_de
1,advisor_handoff_note,docs/project/DOZENTEN_UEBERGABE_TEXT.md,Als kurze Mail- oder Chat-Vorlage fuer die Uebergabe nutzen.,Keine Entscheidung; eroeffnet die Betreuung mit klarer Datei- und Fragenordnung.,"Zwischenstand, kein finales Abgabe- oder Quellenreview-Signal."
2,advisor_report_docx,docs/project/dozentenbericht_ba_thesis.docx,"Als schriftliches Word-Update mit Source-Gated H1-H2-H3 Drafting Sequence an den Dozenten geben: 15 Absatzschritte, 23 Manual Source Review Zeilen verlinkt.","Projektstand, Aufbau, H1-H3-Kern, Source-Review-Gates, Grenzen und naechste Schritte abstimmen.","Source-Gated Sequence bleibt bounded-draft-ready und nicht final-submission-ready (0 final-ready Source-Review-Zeilen); DOCX-Render-QA bleibt lokal blockiert, wenn LibreOffice/soffice fehlt."
3,advisor_questions,docs/project/DOZENTEN_ABSPRACHE_CHECKLIST.md,Als Gespraechsagenda fuer die naechste Betreuung nutzen.,"H1-Wording, Source-Review-Tiefe, H2/H3-Scope, Swiss und Appendix-Scope klaeren.",Fragen klaeren Scope; sie aktivieren keine Empirie-Erweiterung.
4,submission_readiness,docs/project/THESIS_SUBMISSION_READINESS_BOARD.md,"Als Gate-Uebersicht fuer draft-ready, final-blocked und deferred Schritte nutzen.","Klaeren, welche finalen Gates vor Abgabe zwingend geloest werden muessen.","Source Review, Swiss-Gate und DOCX-Render-QA bleiben final blockiert."
5,drafting_sequence,docs/project/THESIS_DRAFTING_SEQUENCE.md,Als naechste Schreibreihenfolge fuer den BA-Entwurf nutzen.,"Bestaetigen, ob diese Reihenfolge fuer den naechsten Entwurf sinnvoll ist.",Trennt bounded Draft-Arbeit von finalen Blockern und Future Work.
6,execution_checklist,docs/project/THESIS_EXECUTION_CHECKLIST.md,Nach Feedback als Kapitel- und Abnahme-Checkliste nutzen.,Reihenfolge und Done-Kriterien fuer die BA-Kapitel bestaetigen.,Review-Access bleibt pausiert; keine Runtime-Agenten oder Rohartefakt-Dumps.
7,chapter_source_bindings,docs/project/THESIS_CHAPTER_SOURCE_BINDINGS.md,"Beim Schreiben je Kapitel Quellen, Artefakte und Gates pruefen.","Klaeren, ob diese Kapitel-zu-Quelle-Bindung fuer die Abgabe reicht.","Keine thesis-facing Claims ohne Human Review, Artefaktverweis, Limitation und Wording Guard."
8,source_review_execution,docs/project/THESIS_SOURCE_REVIEW_EXECUTION.md,Als manuelle Reihenfolge fuer die Quellenpruefung nutzen.,Prioritaet der 11 Priority-1-Quellen und blocked/future-only Quellen bestaetigen.,Quellenstatus nicht automatisch hochstufen.
9,manual_source_review_followup_overview,docs/project/THESIS_MANUAL_SOURCE_REVIEW_FOLLOWUP_OVERVIEW.md,"Als kompakte H1-H2-H3 Source-Review-Steuerung nutzen: 23 offene Review-Zeilen, 3 Slices, 23 pending, 0 final-ready.","Klaeren, ob H1, H2 und H3 in dieser Reihenfolge source-by-source reviewed werden sollen.","Alle Zitationen bleiben final blockiert; keine Quellenstatus-Hochstufung, keine Kausalclaims, keine Runtime-Agenten und keine Rohartefakt-Dumps."
10,agent_future_handoff,docs/project/THESIS_AGENT_FUTURE_WORK_HANDOFF.md,Nur als Future-Work-Ausblick fuer spaetere Pipeline-Verbesserungen nutzen.,"Bestaetigen, dass Agenten nicht Teil des empirischen Kerns werden.","Keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken und keine Trading-Pfade."
11,advisor_feedback_log,docs/project/DOZENTEN_FEEDBACK_LOG.md,Nach der Betreuung Feedback und Folgeaktionen eintragen.,Keine Entscheidung im Voraus; dient als pending Feedback-Log.,"Alle Eintraege bleiben pending, bis der Dozent Feedback gegeben hat."
12,consolidation_index,docs/project/THESIS_CONSOLIDATION_INDEX.md,Als Navigationsindex fuer alle aktuellen Projektartefakte nutzen.,Keine Entscheidung; dient Orientierung und Nachvollziehbarkeit.,Nicht als neues empirisches Resultat verwenden.
