summary_id,hypothesis,summary_type,label,metric,value,source_artifact,allowed_interpretation,limitation,thesis_readiness
h3_model_row_count,H3,coverage,daily_tier_activity_and_price_changes,aligned_model_rows,1216.0,data\results\h3_granger_metadata.json,H3 timing baseline uses aligned daily tier activity and Polymarket price changes.,Daily alignment and BUY-only observed activity limit timing claims.,baseline_ready_with_limitations
h3_wallet_count_tier_1_top_1pct,H3,wallet_tier,tier_1_top_1pct,wallet_count,32.0,data\results\h3_wallet_distribution_inventory.json,Wallet tiers are dataset-relative and distribution-derived.,Tier counts reflect the current observed and filtered wallet dataset.,baseline_ready_with_limitations
h3_wallet_count_tier_2_top_5pct,H3,wallet_tier,tier_2_top_5pct,wallet_count,120.0,data\results\h3_wallet_distribution_inventory.json,Wallet tiers are dataset-relative and distribution-derived.,Tier counts reflect the current observed and filtered wallet dataset.,baseline_ready_with_limitations
h3_wallet_count_tier_3_top_10pct,H3,wallet_tier,tier_3_top_10pct,wallet_count,150.0,data\results\h3_wallet_distribution_inventory.json,Wallet tiers are dataset-relative and distribution-derived.,Tier counts reflect the current observed and filtered wallet dataset.,baseline_ready_with_limitations
h3_wallet_count_tier_4_observed_baseline,H3,wallet_tier,tier_4_observed_baseline,wallet_count,2704.0,data\results\h3_wallet_distribution_inventory.json,Wallet tiers are dataset-relative and distribution-derived.,Tier counts reflect the current observed and filtered wallet dataset.,baseline_ready_with_limitations
h3_top_abs_correlation_tier_1_top_1pct,H3,lead_lag_correlation,tier_1_top_1pct lag 1,top_absolute_correlation,0.1858367493925346,data\results\h3_lead_lag_correlations.csv,Lead-lag correlations describe timing association between tier activity and price changes.,Correlation does not establish true causality or strategy profitability.,baseline_ready_with_limitations
h3_top_abs_correlation_tier_2_top_5pct,H3,lead_lag_correlation,tier_2_top_5pct lag 4,top_absolute_correlation,0.0468027936202505,data\results\h3_lead_lag_correlations.csv,Lead-lag correlations describe timing association between tier activity and price changes.,Correlation does not establish true causality or strategy profitability.,baseline_ready_with_limitations
h3_top_abs_correlation_tier_3_top_10pct,H3,lead_lag_correlation,tier_3_top_10pct lag 6,top_absolute_correlation,0.060987922319295,data\results\h3_lead_lag_correlations.csv,Lead-lag correlations describe timing association between tier activity and price changes.,Correlation does not establish true causality or strategy profitability.,baseline_ready_with_limitations
h3_top_abs_correlation_tier_4_observed_baseline,H3,lead_lag_correlation,tier_4_observed_baseline lag 4,top_absolute_correlation,-0.0573321366208616,data\results\h3_lead_lag_correlations.csv,Lead-lag correlations describe timing association between tier activity and price changes.,Correlation does not establish true causality or strategy profitability.,baseline_ready_with_limitations
h3_min_granger_p_value_tier_1_top_1pct,H3,granger,tier_1_top_1pct lag 1,minimum_granger_p_value,0.0012215261772954,data\results\h3_granger_results.csv,Granger output is a predictive timing diagnostic under model assumptions.,"Multiple testing, BUY-only data, and daily alignment limit thesis conclusions.",baseline_ready_with_limitations
h3_min_granger_p_value_tier_2_top_5pct,H3,granger,tier_2_top_5pct lag 1,minimum_granger_p_value,0.4625310410252952,data\results\h3_granger_results.csv,Granger output is a predictive timing diagnostic under model assumptions.,"Multiple testing, BUY-only data, and daily alignment limit thesis conclusions.",baseline_ready_with_limitations
h3_min_granger_p_value_tier_3_top_10pct,H3,granger,tier_3_top_10pct lag 1,minimum_granger_p_value,0.3449100638213569,data\results\h3_granger_results.csv,Granger output is a predictive timing diagnostic under model assumptions.,"Multiple testing, BUY-only data, and daily alignment limit thesis conclusions.",baseline_ready_with_limitations
h3_min_granger_p_value_tier_4_observed_baseline,H3,granger,tier_4_observed_baseline lag 4,minimum_granger_p_value,0.7827298071318024,data\results\h3_granger_results.csv,Granger output is a predictive timing diagnostic under model assumptions.,"Multiple testing, BUY-only data, and daily alignment limit thesis conclusions.",baseline_ready_with_limitations
