zeitstempel_utc,markt_id,markt_frage,arm,signal_regel,signal_ausloesewert,seite,signalpreis,ausfuehrungspreis,groesse_usd,gebuehren_usd,slippage,orderbuchtiefe_einstieg_usd,exit_zeit_utc,exit_preis,exit_grund,bemerkung
2026-07-22T13:07:54Z,2125608,Will US GDP growth in Q2 2026 be less than 1.0%?,arm2,arm2_favorit_090_097_max21d,ask=0.969,No,0.969,0.967,5.0,,-0.002,58.06,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.967; FAK 0x40af35164714 deckel 0.967
2026-07-22T13:07:54Z,2129198,Will Mexico GDP growth in Q2 2026 be between 0.0% and 0.5%?,arm2,arm2_favorit_090_097_max21d,ask=0.92,No,0.92,0.949,5.0,,0.029,815.71,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.949; FAK 0x959c899e563a deckel 0.949
2026-07-22T13:07:54Z,2129202,Will Mexico GDP growth in Q2 2026 be between 2.0% and 2.5%?,arm2,arm2_favorit_090_097_max21d,ask=0.918,No,0.918,0.922,5.0,,0.004,302.97,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.922; FAK 0x4af54cfdbbda deckel 0.922
2026-07-22T13:07:54Z,2234675,Will any FaZe member come out as a furry by July 31?,arm2,arm2_favorit_090_097_max21d,ask=0.96,No,0.96,0.97,5.0,,0.01,521.34,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.97; FAK 0x783ff509af4b deckel 0.97
2026-07-22T13:07:54Z,2343701,Will Elon Musk post 840-879 tweets in July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.946,No,0.946,0.939,5.0,,-0.007,1490.02,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.939; FAK 0x7d6b244be933 deckel 0.939
2026-07-22T13:07:54Z,2378831,Will Russia enter Krasnoiarske by July 31?,arm2,arm2_favorit_090_097_max21d,ask=0.93,No,0.93,0.959,5.0,,0.029,636.25,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.959; FAK 0x34d127f8c238 deckel 0.959
2026-07-22T13:07:54Z,2430441,Will Anthropic have the third best AI model at the end of July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.92,Yes,0.92,0.95,5.0,,0.03,106.09,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.95; FAK 0x8ad4e415ee94 deckel 0.95
2026-07-22T13:07:54Z,2430803,Will Anthropic have the #2 AI model at the end of July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.96,Yes,0.96,0.94,5.0,,-0.02,3040.42,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.94; FAK 0xfbba729445d2 deckel 0.94
2026-07-22T13:07:54Z,2430854,Will Anthropic have the #3 AI model at the end of July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.97,Yes,0.97,0.96,5.0,,-0.01,205.51,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.96; FAK 0x3135caed7aca deckel 0.96
2026-07-22T13:07:54Z,2431050,Will Google have the best Math AI model at the end of July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.94,No,0.94,0.964,5.0,,0.024,425.81,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.964; FAK 0xdb812f49594d deckel 0.964
2026-07-22T13:07:54Z,2431051,Will Anthropic have the best Math AI model at the end of July 2026?,arm2,arm2_favorit_090_097_max21d,ask=0.91,Yes,0.91,0.96,5.0,,0.05,489.06,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.96; FAK 0x5dc3b72728fe deckel 0.96
2026-07-22T13:07:54Z,2447485,Will Ukraine re-enter Hryshyne by July 31?,arm2,arm2_favorit_090_097_max21d,ask=0.94,No,0.94,0.96,5.0,,0.02,55.98,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.96; FAK 0xc78df4979657 deckel 0.96
2026-07-22T13:07:54Z,2129243,Will Eurozone GDP growth in Q2 2026 be between 0.8% and 1.1%?,arm2,arm2_favorit_090_097_max21d,ask=0.94,No,0.94,0.94,5.0,,0.0,421.83,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.94; FAK 0xdd406094d98b deckel 0.94
2026-07-22T13:07:54Z,2373891,"Will Russia capture Toretske by July 31, 2026?",arm2,arm2_favorit_090_097_max21d,ask=0.92,No,0.92,0.927,5.0,,0.007,2014.41,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.927; FAK 0x52a31cf6d34f deckel 0.927
2026-07-22T13:07:54Z,2373972,Will Russia enter Mykhailivka by July 31?,arm2,arm2_favorit_090_097_max21d,ask=0.935,No,0.935,0.966,5.0,,0.031,430.45,,,haelt bis zur Aufloesung (Protokoll),automatisiert (V3): fill; ask_bei_ausfuehrung=0.966; FAK 0x3b19fb46deec deckel 0.966
