claim_id,claim_label,claim_family,comparison_scope,comparison_unit,comparison_count,polymarket_support_count,poll_support_count,tie_count,polymarket_support_share,mean_loss_advantage,exact_p_value,exact_95_ci_low,claim_status,allowed_statement,limitation
bounded_primary_state_date_rows,Bounded <=90d low/middle poll-distance rows,supported_bounded_scope,<=90_days_low_middle_poll_distance,state_date_rows,285,262,23,0,0.9192982456140351,0.0932715877516982,,,supported,"In the bounded <=90-day low/middle poll-distance scope, Polymarket has lower Brier loss in most state-date rows.",State-date rows repeat one election context and do not prove a broad many-election claim.
bounded_primary_state_units,Bounded <=90d low/middle poll-distance states,supported_bounded_scope,<=90_days_low_middle_poll_distance,states,9,9,0,0,1.0,,0.001953125,0.7168711644368863,supported,Every represented state in the bounded primary scope supports Polymarket by lower-loss majority.,The units are states within one presidential election.
bounded_primary_state_month_units,Bounded <=90d low/middle state-month units,supported_bounded_scope,<=90_days_low_middle_poll_distance,state_month_units,17,17,0,0,1.0,,7.62939453125e-06,0.83843388873926,supported,The strongest robust unit diagnostic supports Polymarket across all bounded primary state-month units.,"State-month units are robustness units, not independent elections."
bounded_primary_state_horizon_units,Bounded <=90d low/middle state-horizon units,supported_bounded_scope,<=90_days_low_middle_poll_distance,state_horizon_units,17,17,0,0,1.0,,7.62939453125e-06,0.83843388873926,supported,Polymarket is supported in all bounded primary state-horizon units.,State-horizon units reuse the same election context.
bounded_primary_horizon_tier_units,Bounded <=90d low/middle horizon-tier units,directional_bounded_scope,<=90_days_low_middle_poll_distance,horizon_tier_units,4,4,0,0,1.0,,0.0625,0.472870804501588,directional_support,All horizon-tier units point toward Polymarket in the bounded primary scope.,Only four horizon-tier units are available; exact p-value is above 0.05.
direct_poll_source_state_cases,Direct poll-transform source-state cases,mixed_mean_support,direct_poll_transform,source_state_cases,56,22,34,0,0.39285714285714285,0.01850238053192633,,,mean_supported_case_majority_not_supported,Direct poll-transform cases have lower mean Brier for Polymarket.,Poll-derived comparators win more individual source-state cases.
direct_poll_state_clusters,Direct poll-transform state clusters,mixed_mean_support,direct_poll_transform_state_clusters,states,43,13,30,0,0.3023255813953488,0.012179748962750437,0.004549772511374431,0.004091892987114947,mean_supported_state_majority_not_supported,Equal-state mean loss advantage is positive for Polymarket.,State-count majority supports poll-derived comparators.
direct_poll_outlier_robust_mean,Direct poll outlier robustness mean,mixed_mean_support,direct_poll_outlier_robustness,leave_one_state_out_scenarios,43,43,0,0,1.0,0.009498801293313323,,,mean_robust_to_single_state,The positive direct poll state-cluster mean is not created by a single state.,The advantage remains concentrated in the largest positive state contributions.
full_state_date_panel,Full state-date poll panel,counterexample,full_state_date_poll_panel,state_date_rows,1720,360,1360,0,0.20930232558139536,-0.0568795520103853,,,contradicted,The full repeated state-date panel contradicts a broad Polymarket-better claim.,Full panel includes early periods and repeated state-date rows.
full_panel_state_month_units,Full panel state-month units,counterexample,full_state_date_poll_panel,state_month_units,80,19,61,0,0.2375,,,,contradicted,Full-panel state-month robustness units favor poll-derived comparators.,State-month units still belong to one election context.
late_high_distance_rows,Late high poll-distance rows,counterexample,<=90_days_high_poll_distance,state_date_rows,72,0,72,0,0.0,,,,contradicted,Late high-distance rows are a clear counterexample scope.,This scope is excluded from the bounded supporting claim.
late_high_distance_states,Late high poll-distance states,counterexample,<=90_days_high_poll_distance,states,5,0,5,0,0.0,,0.03125,,contradicted,Late high-distance state-level support favors poll-derived comparators.,Only five states are in this counterexample scope.
popular_vote_daily_rows,Popular-vote daily rows,counterexample,popular_vote_poll_transform,daily_rows,51,21,30,0,0.4117647058823529,-0.0354189584821134,,,contradicted,The popular-vote poll-transform comparison contradicts the strong Polymarket-better claim.,This is one national popular-vote outcome with daily rows.
