source_id,title,status,used_by_evidence_ids,used_by_thesis_areas,used_by_item_types,draft_mapping_role,final_citation_readiness,required_next_action,citation_risk
lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,method_h1_brier_dm; interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven; method_swiss_running_comparison,H1; swiss_referendum,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
lit_dm_001,Comparing Predictive Accuracy,skimmed,method_h1_brier_dm; interpretation_h1_bounded_advantage,H1,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,method_h1_brier_dm; interpretation_h1_broad_claim_not_proven; method_h2_event_window; interpretation_h2_daily_response,H1; H2,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
lit_eventstudy_001,Event Studies in Economics and Finance,skimmed,method_h2_event_window; interpretation_h2_daily_response,H2,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
lit_granger_001,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,skimmed,method_h3_granger_timing; interpretation_h3_top_tier_signal,H3,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_001,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,skimmed,method_h2_event_window; method_h3_wallet_tiers; interpretation_h3_top_tier_signal; method_monitor_prototype,H2; H3; monitor_prototype,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,method_h1_brier_dm; interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven; method_swiss_running_comparison; interpretation_swiss_gap_pending,H1; swiss_referendum,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_003,Can Prediction Markets Beat Polls? What Polymarket Gets Right - and What It Misses,skimmed,,,,not_used_in_current_core_map,not_currently_needed,No immediate thesis action unless the source is added to a claim.,low
zotero_poly_004,Unverified EMH source PDF,rejected,,,,not_used_in_current_core_map,not_currently_needed,No immediate thesis action unless the source is added to a claim.,low
zotero_poly_005,Insider Trading and Prediction Markets,skimmed,method_h3_wallet_tiers; method_h3_granger_timing; interpretation_h3_top_tier_signal,H3,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_006,Makers and Takers: The Economics of the Kalshi Prediction Market,skimmed,method_monitor_prototype; interpretation_monitor_review_queue; future_agent_pipeline_guarded,future_agents; monitor_prototype,future_work; interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_007,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,skimmed,method_h3_wallet_tiers,H3,method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_008,Polymarket Tightens Rules Amid Whale Wallets' $143M Edge - Regulatory Lags Create Trading Window,candidate,,,,not_used_in_current_core_map,not_currently_needed,No immediate thesis action unless the source is added to a claim.,low
zotero_poly_009,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,skimmed,method_monitor_prototype; interpretation_monitor_review_queue,monitor_prototype,interpretation; method,supports_draft_mapping_only,needs_full_source_review_before_final_citation,"Read the source against the mapped evidence rows, extract page or section notes, and then mark reviewed or cited only after claim wording is checked.",medium
zotero_poly_010,PolyBench: 5 of 7 LLMs cannot outperform market with news context,candidate,future_agent_pipeline_guarded,future_agents,future_work,question_or_future_work_only,not_allowed_for_thesis_facing_claims,Verify metadata and relevance before using beyond future-work or question framing.,high
