decision_id,decision_order,source_id,source_title,source_status,source_priority_order,evidence_id,item_type,decision_focus_de,access_route,local_file_type,local_file_exists,structure_inventory_status,review_source_locator,deterministic_artifact,primary_artifact_exists,selected_table,selected_figure,coverage_status,final_citation_readiness,current_review_status,required_manual_decision_fields_de,manual_review_action_de,allowed_claim_scope_de,blocked_wording_check_de,chapter_write_use_de,agent_assist_boundary_de,source_status_change_allowed,final_citation_ready,queue_status
h1_decision_01_lit_brier_001__method_h1_brier_dm,1,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,method_h1_brier_dm,method,Methodenanker: Quelle gegen H1 Brier-/DM-Methodenwahl pruefen.,external_locator_review,not_local,False,external_only,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/thesis_h1_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.",Nach manueller Review als H1-Methodenanker verwenden; Ergebniswert bleibt ausschliesslich im deterministischen Artefakt.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_02_lit_brier_001__interpretation_h1_bounded_advantage,2,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,interpretation_h1_bounded_advantage,interpretation,Interpretationsgrenze: bounded H1 Support nur im definierten Vergleichsscope pruefen.,external_locator_review,not_local,False,external_only,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_poll_claim_readiness_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.",Nach manueller Review fuer bounded H1-Interpretation nutzen; keine allgemeine Ueberlegenheit formulieren.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_03_lit_brier_001__interpretation_h1_broad_claim_not_proven,3,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,interpretation_h1_broad_claim_not_proven,interpretation,Interpretationsgrenze: breite Polymarket-Ueberlegenheitsbehauptung bleibt nicht belegt.,external_locator_review,not_local,False,external_only,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_forecast_quality_synthesis.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.",Nach manueller Review fuer die Grenze der breiten H1-Behauptung nutzen; gemischte Evidenz sichtbar lassen.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_04_lit_dm_001__method_h1_brier_dm,4,lit_dm_001,Comparing Predictive Accuracy,skimmed,2,method_h1_brier_dm,method,Methodenanker: Quelle gegen H1 Brier-/DM-Methodenwahl pruefen.,external_locator_review,not_local,False,external_only,https://doi.org/10.1080/07350015.1995.10524599,data/results/thesis_h1_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.",Nach manueller Review als H1-Methodenanker verwenden; Ergebniswert bleibt ausschliesslich im deterministischen Artefakt.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_05_lit_dm_001__interpretation_h1_bounded_advantage,5,lit_dm_001,Comparing Predictive Accuracy,skimmed,2,interpretation_h1_bounded_advantage,interpretation,Interpretationsgrenze: bounded H1 Support nur im definierten Vergleichsscope pruefen.,external_locator_review,not_local,False,external_only,https://doi.org/10.1080/07350015.1995.10524599,data/results/h1_poll_claim_readiness_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.",Nach manueller Review fuer bounded H1-Interpretation nutzen; keine allgemeine Ueberlegenheit formulieren.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_06_lit_emh_001__method_h1_brier_dm,6,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,3,method_h1_brier_dm,method,Methodenanker: Quelle gegen H1 Brier-/DM-Methodenwahl pruefen.,external_locator_review,not_local,False,external_only,https://doi.org/10.2307/2325486,data/results/thesis_h1_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.",Nach manueller Review als H1-Methodenanker verwenden; Ergebniswert bleibt ausschliesslich im deterministischen Artefakt.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_07_lit_emh_001__interpretation_h1_broad_claim_not_proven,7,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,3,interpretation_h1_broad_claim_not_proven,interpretation,Interpretationsgrenze: breite Polymarket-Ueberlegenheitsbehauptung bleibt nicht belegt.,external_locator_review,not_local,False,external_only,https://doi.org/10.2307/2325486,data/results/h1_forecast_quality_synthesis.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Externe DOI/JSTOR/URL manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.",Nach manueller Review fuer die Grenze der breiten H1-Behauptung nutzen; gemischte Evidenz sichtbar lassen.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_08_zotero_poly_002__method_h1_brier_dm,8,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,method_h1_brier_dm,method,Methodenanker: Quelle gegen H1 Brier-/DM-Methodenwahl pruefen.,local_pdf_review,pdf,True,local_pdf_structure_available,https://arxiv.org/abs/2507.08921,data/results/thesis_h1_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Lokales PDF manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.",Nach manueller Review als H1-Methodenanker verwenden; Ergebniswert bleibt ausschliesslich im deterministischen Artefakt.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_09_zotero_poly_002__interpretation_h1_bounded_advantage,9,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,interpretation_h1_bounded_advantage,interpretation,Interpretationsgrenze: bounded H1 Support nur im definierten Vergleichsscope pruefen.,local_pdf_review,pdf,True,local_pdf_structure_available,https://arxiv.org/abs/2507.08921,data/results/h1_poll_claim_readiness_summary.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Lokales PDF manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.",Nach manueller Review fuer bounded H1-Interpretation nutzen; keine allgemeine Ueberlegenheit formulieren.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
h1_decision_10_zotero_poly_002__interpretation_h1_broad_claim_not_proven,10,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,interpretation_h1_broad_claim_not_proven,interpretation,Interpretationsgrenze: breite Polymarket-Ueberlegenheitsbehauptung bleibt nicht belegt.,local_pdf_review,pdf,True,local_pdf_structure_available,https://arxiv.org/abs/2507.08921,data/results/h1_forecast_quality_synthesis.csv,True,T2,F1,source_mapped_final_review_pending,needs_full_source_review_before_final_citation,pending_manual_review,Page-/Section-Note; Claim-Support; Blocked-Wording; Citation-Use; Reviewer-Kommentar.,"Lokales PDF manuell oeffnen; relevante Seite oder Abschnitt notieren; danach Claim-Support, Blocked-Wording und Citation-Use setzen. Locator-Hinweis: Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.",Nach manueller Review fuer die Grenze der breiten H1-Behauptung nutzen; gemischte Evidenz sichtbar lassen.,"Spaetere Agentenhilfe darf nur fehlende Felder markieren; keine Quelleninhalte bewerten, keine Zitation freigeben, keine Kennzahlen berechnen, max 50 rows und llm_audit_log.",False,False,pending_manual_h1_source_review
