workstream_id,priority_order,workstream,thesis_section,current_artifact,next_action,done_when,blocked_until,guardrail
work_01_source_review,1,Core source review,theory_literature_and_methods,data/results/thesis_source_review_plan.csv,Review the 11 priority-1 method-foundation sources and record page or section notes.,All priority-1 rows have reviewer page or section notes and status decisions are updated by a human.,Full source review is completed for method and core interpretation sources.,Do not promote skimmed or candidate sources automatically.
work_02_method_chapters,2,"Write introduction, theory, and methods",chapters_01_to_03,data/results/thesis_chapter_plan.csv,Use the 8 chapter-plan rows to draft the front matter and methods chapters.,Each method paragraph names a deterministic artifact and a reviewed or pending-reviewed source boundary.,Core method source review is at least page-note complete.,"RCP transformation, H2 event curation, H3 tier construction, and agent deferral must stay explicit."
work_03_h1_results,3,Write H1 result chapter,h1_results,data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness_summary.csv,Write H1 as bounded Polymarket support plus explicit broad-claim boundary.,"The chapter states supported scope, counterexample scopes, and why the broad claim remains not proven.",No blocker for draft; final citation wording waits for source review.,Do not state universal Polymarket superiority or RCP probability claims.
work_04_h2_h3_results,4,Write H2 and H3 result chapters,h2_h3_results,data/results/h2_event_window_summary.csv; data/results/thesis_h3_summary.csv,Draft H2 as daily event-window response and H3 as wallet-tier timing diagnostics.,"Both chapters include the main deterministic result, artifact path, and limitation paragraph.",No blocker for draft; sensitivity and final wording can be refined after source review.,"No intraday speed claim, no Granger causality claim, no private-information or profitability claim."
work_05_table_figure_integration,5,Integrate compact tables and figures,results_and_appendix,data/results/thesis_table_figure_captions.csv,Use 5 core tables and 4 core figures with the generated captions and limitation notes.,"Every inserted table or figure has label, source artifact, interpretation note, and limitation note.",No blocker for draft; final numbering waits for thesis layout.,Do not add raw result files to the core package without updating evidence map and chapter plan.
work_06_monitor_appendix,6,Keep monitor as appendix prototype,appendix_or_discussion,data/results/monitor_anomaly_review_summary.csv,Mention monitor only as read-only prototype and review workflow.,"Monitor text says review cases are cues, not causal, trading, or thesis-facing efficiency proof.",Human source review of monitor cases exists.,No wallet-address exposure by default and no order or trading paths.
work_07_swiss_result_gate,7,Write bounded Swiss final case paragraph,discussion_bounded_final_case,data/results/swiss_referendum_10mio_final_case_study.csv; docs/research/SWISS_REFERENDUM_FINAL_CASE_STUDY.md,Use the official 14 June 2026 vote result and deterministic final-case metrics for a bounded Swiss side-case paragraph.,"The paragraph separates vote-share accuracy, binary outcome proxy, and the poll-share limitation.",Manual Source Review and final citation wording are complete.,"Poll shares are not win probabilities; no final efficiency, mispricing, tradeability, or universal Polymarket-superiority claim from the Swiss case."
work_08_agent_outlook,8,Keep agent pipeline as future work,future_work,data/results/thesis_agent_assistance_protocol.csv,Use the 7 protocol rows only as a future-work design section.,The thesis names useful future roles but states activation gates and blocked actions.,"Separate approved goal, llm_audit_log integration, bounded prompts, and tests exist.","Do not implement runtime agents, MCP tools, model routing, or LLM metric calculation now."
work_09_advisor_iteration,9,Use advisor feedback to narrow scope,project_management,docs/project/dozentenbericht_ba_thesis.docx,"Ask the advisor to approve the bounded H1 wording, source-review depth, Swiss placement, and appendix scope.",Advisor feedback is logged and translated into a small next commit plan.,Advisor feedback is received.,Do not expand empirical scope before current thesis core is written.
work_10_final_qa,10,Final thesis QA,whole_thesis,STATUS.md; docs/project/WORK_LOG.md,"Run full tests, review checks, citation checks, table/figure checks, and Swiss spelling scan before export.","Review checks pass, final citations are approved, and the thesis export has no unsupported claims.","Draft chapters, source review, and final result gates are complete.",No final submission claim may exceed deterministic artifacts and reviewed sources.
