evidence_id,thesis_area,item_type,claim_or_decision,primary_artifact,supporting_artifacts,literature_sources,allowed_wording,blocked_wording,main_limitation,thesis_readiness
method_h1_brier_dm,H1,method,Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.,data/results/thesis_h1_summary.csv,data/results/h1_brier_scores.csv; data/results/h1_diebold_mariano.json; data/results/h1_forecast_quality_synthesis.csv,lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002,forecast-quality comparison; lower Brier loss in the tested overlap window,reaction speed proof; broad market superiority proof; RCP probability claim without transformation,Repeated daily rows and one election context limit generalisation.,thesis_facing_ready
interpretation_h1_bounded_advantage,H1,interpretation,A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.,data/results/h1_poll_claim_readiness_summary.csv,data/results/h1_poll_comparison_result_summary.csv; data/results/h1_claim_evidence_audit_summary.csv,lit_brier_001; lit_dm_001; zotero_poly_002,bounded H1 support in defined scope,Polymarket is always better; many-election proof; causal explanation,The full state-date panel and other scopes remain counterexamples to the broad claim.,thesis_facing_ready
interpretation_h1_broad_claim_not_proven,H1,interpretation,The broad claim that Polymarket generally beats traditional sources is not proven.,data/results/h1_forecast_quality_synthesis.csv,data/results/h1_claim_evidence_audit_summary.csv,lit_brier_001; zotero_poly_002; lit_emh_001,mixed H1 evidence; broad superiority not proven,general superiority; universal forecast dominance,"The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.",thesis_facing_ready
method_h2_event_window,H2,method,Daily public-event response is evaluated with pre-curated events and fixed event windows.,data/results/h2_event_window_summary.csv,data/events_timeline_seed.csv; data/results/h2_event_window_rows.csv,lit_eventstudy_001; lit_emh_001; zotero_poly_001,daily event-window response around pre-curated public events,intraday speed claim; post-hoc event selection,Daily prices cannot identify intraday reaction timing.,thesis_facing_ready
interpretation_h2_daily_response,H2,interpretation,"Curated events show visible daily Polymarket movement, strongest in the Trump shooting primary window.",data/results/h2_event_window_summary.csv,data/results/thesis_h2_summary.csv,lit_eventstudy_001; lit_emh_001,visible daily event-window movement,instant market reaction; causal event proof,"Direction and magnitude are event-window diagnostics, not intraday causal estimates.",thesis_facing_ready
method_h3_wallet_tiers,H3,method,"Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.",data/results/h3_wallet_distribution_inventory.json,data/results/h3_wallet_tiers.csv; data/results/h3_tiered_wallet_activity_daily.csv,zotero_poly_001; zotero_poly_005; zotero_poly_007,dataset-relative wallet tiers,arbitrary whale threshold; identified private-information wallets,Observed wallet data are BUY-only and source-filtered.,thesis_facing_ready
method_h3_granger_timing,H3,method,Lead-lag correlations and Granger tests are used as predictive timing diagnostics.,data/results/h3_granger_results.csv,data/results/h3_lead_lag_correlations.csv; data/results/thesis_h3_summary.csv,lit_granger_001; zotero_poly_005,predictive timing diagnostic under model assumptions,causality proof; private information proof; profitability proof,"Daily alignment, multiple testing, and BUY-only extraction limit conclusion strength.",thesis_facing_ready
interpretation_h3_top_tier_signal,H3,interpretation,The top wallet tier shows the clearest deterministic timing pattern in the current H3 baseline.,data/results/thesis_h3_summary.csv,data/results/h3_granger_results.csv; data/results/h3_lead_lag_correlations.csv,lit_granger_001; zotero_poly_005; zotero_poly_001,top-tier timing pattern; predictive diagnostic,private-information proof; causal misconduct; tradable strategy,Signal strength is diagnostic and needs sensitivity/multiple-testing caution.,thesis_facing_ready
method_monitor_prototype,monitor_prototype,method,"The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.",data/results/monitor_anomaly_review_summary.csv,data/results/monitor_anomaly_review_queue.csv; data/results/monitor_anomaly_review_dashboard.html; docs/research/STRATEGY_AGENT_ARCHITECTURE.md,zotero_poly_001; zotero_poly_006; zotero_poly_009,deterministic human-review cue; prototype monitor,thesis evidence before review; private information proof; trading signal,Current cases remain source-check pending and blocked from thesis-facing use.,appendix_prototype_only
interpretation_monitor_review_queue,monitor_prototype,interpretation,The queue is useful as a review workflow but not as evidence of causes or market inefficiency.,data/results/monitor_anomaly_review_summary.csv,data/results/monitor_anomaly_review_decision_readiness.csv; data/results/monitor_anomaly_case_review_packets.csv,zotero_poly_006; zotero_poly_009,human-review workflow and appendix material,causal claim; misconduct claim; efficiency conclusion; profit claim,All current cases remain pending manual source and thesis-use review.,appendix_prototype_only
method_swiss_running_comparison,swiss_referendum,method,Swiss referendum final case study maps the official result to Polymarket prices and poll shares with separate vote-share and binary proxy comparison modes.,data/results/swiss_referendum_10mio_final_case_study.csv,data/results/swiss_referendum_10mio_live_accuracy_windows.csv; data/results/swiss_referendum_10mio_history_accuracy_windows.csv; data/results/swiss_referendum_10mio_poll_accuracy.csv; data/swiss_referendum_10mio_official_result.csv; data/results/swiss_referendum_10mio_latest_source_comparison.csv; data/swiss_referendum_10mio_polls.csv; docs/research/SWISS_REFERENDUM_FINAL_CASE_STUDY.md,zotero_poly_002; lit_brier_001,post-result bounded vote-share comparison; binary outcome proxy with limitation,mispricing proof; final efficiency proof; trade signal; Polymarket vote-share forecast,Polymarket prices are not vote-share forecasts and poll shares are not true win probabilities.,post_result_mapped_bounded
interpretation_swiss_gap_pending,swiss_referendum,interpretation,"In the Swiss final case, final polls are closer to the official Yes share, while Polymarket carries the clearer rejection signal in the binary proxy view.",data/results/swiss_referendum_10mio_final_case_study.csv,data/results/swiss_referendum_10mio_final_case_study.png; docs/research/SWISS_REFERENDUM_FINAL_CASE_STUDY.md,zotero_poly_002,polls closer on vote share; Polymarket stronger rejection signal,Polymarket predicted the vote share better; efficiency proof; tradeable signal,"The binary comparison treats poll shares only as transparent proxies, not as true win-probability forecasts.",post_result_mapped_bounded
future_agent_pipeline_guarded,future_agents,future_work,"Future agents may improve drafting, review triage, and source-check workflows only from bounded deterministic summaries.",docs/research/STRATEGY_AGENT_ARCHITECTURE.md,data/results/thesis_evidence_map.csv; data/results/thesis_curated_result_package.csv,zotero_poly_006; zotero_poly_010,future audited assistant layer over bounded summaries,agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation,Implementation remains deferred until deterministic thesis package and audit logging are complete.,future_work_deferred
