view_id,project_layer,status,role_in_thesis,primary_artifacts,evidence_or_workstream_ids,current_decision,next_gate,guardrail,thesis_use
project_00_current_frame,Current high-level frame,active_thesis_core,"Frames the BA thesis around deterministic H1, H2, and H3 evidence, with monitor and Swiss material kept bounded.",data/results/thesis_evidence_map.csv; data/results/thesis_core_results_table.csv; data/results/thesis_curated_result_package.csv; data/results/thesis_h1_source_review_decision_queue.csv; data/results/thesis_h2_source_review_decision_queue.csv; data/results/thesis_h3_source_review_decision_queue.csv,method_h1_brier_dm; method_h2_event_window; method_h3_wallet_tiers; work_01_source_review; work_10_final_qa,"Without review access, use 6 core result rows, 5 core tables, and 4 core figures as the main thesis package; use the refreshed Dozentenbericht as the written high-level handoff; H1/H2/H3 Source Review Decision Queues are complete as 10/5/8 manual rows with 0 final-ready rows.","Work through the H1/H2/H3 Source Review Decision Queues, then turn the Source-Gated H1-H2-H3 Drafting Sequence into thesis prose.","Deterministic Python artifacts first; no LLM metric calculation, no raw table dumps, and no runtime agents.",main_text_project_overview
project_01_h1_forecast_quality,H1 forecast quality,thesis_facing_ready,Core empirical result on forecast quality and bounded Polymarket support.,data/results/thesis_core_results_table.csv; data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_poll_claim_readiness.png; data/results/thesis_h1_source_review_decision_queue.csv,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven; work_03_h1_results,"Write H1 as bounded support in compatible poll-comparison scopes, not as universal Polymarket superiority; use the H1 decision queue with 10 rows, T2/F1 binding, and 0 final-ready rows before citation.",Complete the H1 Source Review Decision Queue fields before final H1 citation wording.,No RCP probability claim and no broad superiority claim beyond deterministic artifacts.,main_text_results
project_02_h2_event_windows,H2 event-window response,thesis_facing_ready,Core empirical result on visible daily Polymarket moves around curated public events.,data/results/h2_event_window_summary.csv; data/results/thesis_h2_event_window_car.png; data/events_timeline_seed.csv; data/results/thesis_h2_source_review_decision_queue.csv,method_h2_event_window; interpretation_h2_daily_response; work_04_h2_h3_results,"Use H2 as daily event-window evidence, not as an intraday reaction-speed claim; use the H2 decision queue with 5 rows, T3/F2 binding, Kausalclaim-Grenze, and 0 final-ready rows before citation.",Complete the H2 Source Review Decision Queue fields before final H2 citation wording.,No intraday speed claim and no event selection after seeing the response.,main_text_results
project_03_h3_wallet_timing,H3 wallet timing diagnostics,thesis_facing_ready_with_limits,Core empirical result on dataset-relative wallet-tier timing diagnostics.,data/results/thesis_h3_summary.csv; data/results/h3_granger_results.csv; data/results/thesis_h3_granger_pvalues.png; data/results/thesis_h3_source_review_decision_queue.csv,method_h3_wallet_tiers; method_h3_granger_timing; interpretation_h3_top_tier_signal; work_04_h2_h3_results,"Use top-tier timing diagnostics as predictive pattern evidence, not causal or misconduct evidence; use the H3 decision queue with 8 rows, T4/F3 binding, Granger-Grenze, Wallet-Grenze, and 0 final-ready rows before citation.",Complete the H3 Source Review Decision Queue fields before final H3 citation wording.,"No Granger causality claim, no private-information claim, and no profitability claim.",main_text_results_with_limits
project_04_source_review_gate,Sources and citations,active_gate,Controls which literature can support final method and interpretation wording.,data/results/thesis_source_review_plan.csv; data/results/thesis_citation_review_packets.csv; data/results/thesis_h1_source_review_decision_queue.csv; data/results/thesis_h2_source_review_decision_queue.csv; data/results/thesis_h3_source_review_decision_queue.csv; data/literature/literature_index.csv,work_01_source_review,"Treat 11 sources as requiring full review, including 11 priority-1 method-foundation rows. Use H1/H2/H3 decision queues as the operative 23-row manual Source Review path; access, structure, and traceability audits only prepare manual review and BA drafting.","Record Page-/Section-Notes, Claim-Support, Blocked-Wording, Citation-Use, H2 Kausalclaim-Grenze, and H3 Granger-/Wallet-Grenzen before final thesis citation.",Source review is manual; do not promote skimmed or candidate sources automatically and do not infer support claims from file structure.,theory_methods_citation_gate
project_05_table_figure_package,Compact tables and figures,thesis_facing_package,Keeps the thesis readable by selecting a small number of strong tables and figures.,data/results/thesis_table_figure_captions.csv; data/results/thesis_curated_result_package.csv,work_05_table_figure_integration,"Use 5 core tables and 4 core figures, with generated captions and limitation notes.",Integrate the selected package into draft chapters and appendix placement.,Do not add raw result artifacts to the core package without updating evidence map and chapter plan.,main_text_and_appendix
project_06_monitor_review_access,Monitor prototype and review access,paused_appendix_only,Shows a read-only prototype and review workflow only if kept in appendix or discussion.,data/results/monitor_anomaly_review_summary.csv; data/results/monitor_anomaly_review_access_contract.json; data/results/monitor_anomaly_review_dashboard.html,work_06_monitor_appendix,"Review access remains paused; continue with advisor feedback, source review, and draft writing instead of access work.",Human source review of monitor cases and a separate approved goal before any renewed access work.,"No wallet-address exposure by default, no raw monitor rows, no order or trading paths, and no causal claims.",appendix_or_discussion_only
project_07_swiss_referendum,Swiss referendum side track,post_result_mapped_bounded,Provides a bounded final side comparison after the official vote outcome was mapped.,data/results/swiss_referendum_10mio_final_case_study.csv; data/results/swiss_referendum_10mio_final_case_study.png; docs/research/SWISS_REFERENDUM_FINAL_CASE_STUDY.md,interpretation_swiss_gap_pending; work_07_swiss_result_gate,Use Swiss only as a bounded post-result side case after the official 14 June 2026 vote result: Official Yes 45.21%; latest live Polymarket Yes 21.5%; live vote-share beats 0/74; live binary-proxy beats 74/74; history raw vote-share beats 36/504. Review-Access remains paused.,Manual Source Review and final citation wording before using the Swiss case in final thesis prose.,"Poll shares are not win probabilities; no final efficiency, mispricing, tradeability, or vote-share-superiority claim from the Swiss case.",discussion_bounded_final_case
project_08_future_agents,Future agent-assisted pipeline,documentation_only_deferred,Outlook on how bounded assistants could support source review and wording checks later.,data/results/thesis_agent_pipeline_roadmap.csv; data/results/thesis_agent_assistance_protocol.csv,future_agent_pipeline_guarded; work_08_agent_outlook,"Keep 6 roadmap stages and 7 assistance protocol rows inactive (6 documentation-only, 1 deferred). Treat later upgrade and safety-case artifacts only as Future-Work controls.","Separate approved goal with bounded prompts, tests, llm_audit_log integration, and a refreshed safety case.","No runtime agents, no MCP tools, no model routing, no raw table access, and no LLM metric calculation now.",future_work_only
project_09_advisor_iteration,Advisor communication,project_management_ready,Gives the advisor a concise written project view and decision points.,docs/project/dozentenbericht_ba_thesis.docx; docs/project/dozentenbericht_ba_thesis.md; docs/project/THESIS_ADVISOR_HANDOFF_PACKAGE.md; docs/project/DOZENTEN_FEEDBACK_LOG.md,work_09_advisor_iteration,"Use the Dozentenbericht with the Source-Gated H1-H2-H3 Drafting Sequence and the completed H1/H2/H3 Decision Queues to align on bounded H1 wording, source-review depth, Swiss placement, and appendix scope.","Advisor feedback is received, logged in DOZENTEN_FEEDBACK_LOG, and translated into the next small commit plan.",Do not expand empirical scope or reactivate review access before the current deterministic thesis core is written.,advisor_update
