candidate_id,candidate_type,best_reference_case_id,best_reference_case_type,best_similarity_score,matched_patterns,match_label,allowed_interpretation,limitation
monitor_candidate_20260522_204500_759f3661e55c,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.0,,no_reference_overlap,No triggered reference labels overlap in the current feature set.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_d24c162f8b73,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_e24668f3f71b,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_f183079f2c3f,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_5dbff64bc3b3,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_e02af5d15ac8,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_31bc7f1998f4,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_4902be7e4cdb,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,1.0,"large_trade_flow,market_concentration",complete_reference_overlap,Candidate shares all triggered labels of the reference case; review evidence before use.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210000_b265c77e872d,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210500_83136b9f5cbb,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211000_9c25d1497516,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211500_40799b054be7,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_24b874775afe,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_a8030671b168,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_214500_9a6abaddeae0,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_215000_ac5932fae4cc,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_220000_997f5287203d,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,market_concentration,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_220500_07a19a12b63b,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,large_trade_flow,partial_reference_overlap,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
