guard_id,evidence_id,thesis_area,item_type,allowed_thesis_wording_de,blocked_thesis_wording_de,required_artifact_reference,required_limitation_de,final_use_gate,thesis_section
wording_guard_01_method_h1_brier_dm,method_h1_brier_dm,H1,method,H1 misst Prognosequalitaet ueber Brier-Verluste und den Vergleich vorberechneter Verlustreihen.,"Nicht schreiben: Polymarket reagiert schneller, Polymarket ist generell ueberlegen, oder RCP sei ohne Transformation eine Wahrscheinlichkeit.",data/results/thesis_h1_summary.csv,Wiederholte Tageszeilen und ein einzelner Wahlkontext begrenzen die Generalisierung.,thesis_text_allowed_after_source_review,H1 result chapter
wording_guard_02_interpretation_h1_bounded_advantage,interpretation_h1_bounded_advantage,H1,interpretation,Polymarket zeigt in definierten spaeten und kompatiblen Poll-Vergleichsscopes eine begrenzte Staerke.,"Nicht schreiben: Polymarket ist immer besser, die Arbeit beweise viele unabhaengige Wahlen, oder die Ursache sei geklaert.",data/results/h1_poll_claim_readiness_summary.csv,Das volle State-Date-Panel und andere Scopes bleiben Gegenbeispiele zur breiten Behauptung.,thesis_text_allowed_after_source_review,H1 result chapter
wording_guard_03_interpretation_h1_broad_claim_not_proven,interpretation_h1_broad_claim_not_proven,H1,interpretation,"Die breite Aussage, dass Polymarket traditionelle Quellen generell schlaegt, bleibt nicht bewiesen.","Nicht schreiben: allgemeine Ueberlegenheit, universelle Forecast-Dominanz oder ein starker Viele-Faelle-Beweis.",data/results/h1_forecast_quality_synthesis.csv,"Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Polls und quellenspezifische Scopes.",thesis_text_allowed_after_source_review,H1 result chapter
wording_guard_04_method_h2_event_window,method_h2_event_window,H2,method,H2 nutzt vorab kuratierte oeffentliche Ereignisse und feste Tagesfenster.,Nicht schreiben: Intraday-Reaktionsgeschwindigkeit oder nachtraeglich ausgewaehlte Ereignisse.,data/results/h2_event_window_summary.csv,Tagespreise koennen kein Minuten- oder Stunden-Timing identifizieren.,thesis_text_allowed_after_source_review,H2 event-window chapter
wording_guard_05_interpretation_h2_daily_response,interpretation_h2_daily_response,H2,interpretation,Kuratierte Ereignisse zeigen sichtbare taegliche Polymarket-Bewegungen.,"Nicht schreiben: sofortige Marktreaktion, kausaler Ereignisbeweis oder Intraday-Speed.",data/results/h2_event_window_summary.csv,"Richtung und Groesse sind Event-Window-Diagnostik, keine kausalen Intraday-Schaetzungen.",thesis_text_allowed_after_source_review,H2 event-window chapter
wording_guard_06_method_h3_wallet_tiers,method_h3_wallet_tiers,H3,method,Wallet-Gruppen werden dataset-relativ aus beobachteten Verteilungen abgeleitet.,"Nicht schreiben: fixe Whale-Schwellen, identifizierte private Informationswallets oder Personenzuschreibungen.",data/results/h3_wallet_distribution_inventory.json,Die beobachteten Walletdaten sind BUY-only und quellengefiltert.,thesis_text_allowed_after_source_review,H3 wallet-timing chapter
wording_guard_07_method_h3_granger_timing,method_h3_granger_timing,H3,method,Lead-Lag-Korrelationen und Granger-Tests werden als predictive timing diagnostics gelesen.,"Nicht schreiben: Kausalitaetsbeweis, private Informationen oder Profitabilitaetsbeweis.",data/results/h3_granger_results.csv,"Taegliche Aggregation, Mehrfachtests und BUY-only-Extraktion begrenzen die Aussage.",thesis_text_allowed_after_source_review,H3 wallet-timing chapter
wording_guard_08_interpretation_h3_top_tier_signal,interpretation_h3_top_tier_signal,H3,interpretation,Das oberste Wallet-Tier zeigt im aktuellen H3-Baseline-Output die deutlichste Timingdiagnostik.,"Nicht schreiben: Insiderbeweis, Fehlverhalten, handelbare Strategie oder Gewinnsignal.",data/results/thesis_h3_summary.csv,Die Signalstaerke ist diagnostisch und braucht Sensitivitaets- sowie Multiple-Testing-Vorsicht.,thesis_text_allowed_after_source_review,H3 wallet-timing chapter
wording_guard_09_method_monitor_prototype,method_monitor_prototype,monitor_prototype,method,"Der Monitor kombiniert Marktbewegung, aggregierte Wallet-Tiers, Konzentration und Ereigniskontext als Review-Cues.","Nicht schreiben: thesis-facing Evidenz vor Human Review, private Informationsnutzung oder Trading-Signal.",data/results/monitor_anomaly_review_summary.csv,Aktuelle Cases bleiben source-check-pending und fuer thesis-facing Claims blockiert.,draft_allowed_with_explicit_source_review_gate,appendix_or_discussion
wording_guard_10_interpretation_monitor_review_queue,interpretation_monitor_review_queue,monitor_prototype,interpretation,"Die Queue ist ein Review-Workflow und Appendix-Material, kein Beweis fuer Ursachen oder Ineffizienz.","Nicht schreiben: Kausalclaim, Fehlverhalten, Effizienzschluss, Profitclaim oder Handelsstrategie.",data/results/monitor_anomaly_review_summary.csv,Alle aktuellen Cases brauchen manuelle Quellen- und Thesis-Use-Pruefung.,draft_allowed_with_explicit_source_review_gate,appendix_or_discussion
wording_guard_11_method_swiss_running_comparison,method_swiss_running_comparison,swiss_referendum,method,Der Swiss-Track trennt nach dem offiziellen Resultat Stimmenanteilsnaehe und binaere Ablehnungs-Proxy-Signale.,"Nicht schreiben: Mispricing-Beweis, Effizienzbeweis, Handelssignal oder Polymarket-Stimmenanteilsprognose.",data/results/swiss_referendum_10mio_final_case_study.csv,"Polymarket-Preise sind Annahmewahrscheinlichkeiten, Umfragen sind Stimmenanteile.",draft_allowed_with_explicit_source_review_gate,discussion_bounded_final_case
wording_guard_12_interpretation_swiss_gap_pending,interpretation_swiss_gap_pending,swiss_referendum,interpretation,"Im Swiss-Fall waren finale Umfragen naeher am Ja-Stimmenanteil, waehrend Polymarket das Ablehnungssignal klarer zeigte.","Nicht schreiben: Polymarket war in jeder Hinsicht besser, Effizienzbeweis oder Tradeability.",data/results/swiss_referendum_10mio_final_case_study.csv,Die binaere Poll-Brier-Zeile ist nur ein Proxy und keine echte Win-Probability-Kalibrierung.,draft_allowed_with_explicit_source_review_gate,discussion_bounded_final_case
wording_guard_13_future_agent_pipeline_guarded,future_agent_pipeline_guarded,future_agents,future_work,"Agenten werden nur als spaeterer, auditierter Workflow ueber bounded summaries beschrieben.","Nicht schreiben: agentenberechnete Metriken, rohe Tabellenprompts, autonome Trades oder unlogged LLM-Interpretation.",docs/research/STRATEGY_AGENT_ARCHITECTURE.md,"Implementierung bleibt bis zu separatem Goal, Tests und llm_audit_log-Integration deferred.",future_work_or_appendix_only,future_work
