checklist_id,thesis_area,handoff_id,check_order,check_area,source_artifact,current_state,completion_status,required_evidence_de,manual_action_de,thesis_use_rule_de,blocked_actions_de,ready_for_bounded_draft,ready_for_final_submission
check_h1_01_method_interpretation_coverage,H1,handoff_h1_source_review_chapter,1,method_interpretation_coverage,data/results/thesis_source_review_chapter_handoff.csv,covered_artifact_source_package_ready,bounded_draft_ready_coverage_checked,H1: Methoden `method_h1_brier_dm` und Interpretationen `interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven` sind mit deterministischen Artefakten und Literatur IDs gemappt.,Beim Schreiben Evidence IDs sichtbar halten und keine neuen Claims hinzufuegen.,Bounded Draft erlaubt; finale Zitation bleibt Source-Review-abhaengig.,"Keine Methode oder Interpretation ohne deterministisches Artefakt, Literatur ID und Limitation verwenden.",True,False
check_h1_02_literature_source_review,H1,handoff_h1_source_review_chapter,2,literature_source_review,data/results/thesis_source_review_progress_ledger.csv,manual_source_review_pending,pending_manual_source_review,H1: 10 Ledger-Zeilen; 10 pending; 0 final-ready; Literatur IDs `lit_brier_001; lit_dm_001; lit_emh_001; zotero_poly_002`.,"Page-/Section-Note, Claim-Support, Blocked-Wording, Citation-Use, Reviewer und Kommentar pro Quelle im Ledger erfassen.",Draft darf Pending-Status zeigen; finale Quellenzitation erst nach vollstaendiger manueller Review.,Keine Quellenstatus-Hochstufung und keine automatische Page Note.,True,False
check_h1_03_result_package_integration,H1,handoff_h1_source_review_chapter,3,result_package_integration,data/results/thesis_result_package_traceability.csv,core_package_ready_for_bounded_draft,bounded_draft_ready_result_package_checked,H1: Nur `T2; F1` als Tabellen/Figuren in den Kern integrieren.,"Caption, Quelle, Limitation und Evidence IDs je Tabelle/Figur pruefen.",Resultate thesis-ready als wenige starke Tabellen/Figuren schreiben; Rohartefakte bleiben Nachweis oder Anhang.,"Keine Rohartefakt-Dumps, keine neuen Kennzahlen und keine zusaetzlichen Tabellen/Figuren ohne aktualisierte Maps.",True,False
check_h1_04_limitation_blocked_wording,H1,handoff_h1_source_review_chapter,4,limitation_blocked_wording,data/results/thesis_source_review_chapter_handoff.csv,wording_guard_required,bounded_draft_ready_wording_guard_required,"H1: Limitation `Wiederholte Tageszeilen und ein Wahlkontext begrenzen die Generalisierbarkeit. | Das volle State-Date-Panel und weitere Scopes bleiben Gegenbeispiele zur breiten Behauptung. | Die Evidenz mischt Tageszeilen, State-Outcomes, transformierte Poll-Signale und quellenspezifische Scopes. | Das volle Panel und weitere Scopes enthalten weiterhin Gegenbeispiele. | Die Evidenzeinheiten unterscheiden sich zwischen Tageszeilen, States und transformierten Poll-Scopes. | Vergleichseinheiten und Poll-Transformationen bleiben heterogen. | Die Darstellung ersetzt keine finale Quellenpruefung und keine Erweiterung auf mehrere Wahlen.`; blocked wording `Reaktionsgeschwindigkeitsbeweis | allgemeiner Marktueberlegenheitsbeweis | RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation | Polymarket ist immer besser | Mehrwahl-Beweis | kausale Erklaerung | allgemeine Ueberlegenheit | universelle Prognosedominanz`.",Kapitelabschnitt gegen Limitation und blockiertes Wording pruefen.,Nur bounded wording verwenden und Limitation im Kapitel sichtbar halten.,"Keine Universal-, Intraday-, Kausalitaets-, Private-Information-, Profitabilitaets- oder Tradeability-Claims.",True,False
check_h1_05_final_citation_gate,H1,handoff_h1_source_review_chapter,5,final_citation_gate,data/results/thesis_source_review_progress_ledger.csv,bounded_draft_ready_final_source_review_pending,final_blocked_source_review_pending,"H1: 10 Source-Review-Zeilen im Ledger; 10 pending; 0 final-ready. Keine finale Zitation ohne abgeschlossene manuelle Review. Vor finaler Zitation Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use je Quelle dokumentieren.",Erst nach abgeschlossener manueller Review finale Zitation formatieren.,"Keine finale Zitation, solange Ledger-Zeilen pending sind.","Keine finale Zitation, keine Candidate-Quellen als Thesis-Evidence und keine stillschweigende Entfernung offener Gates.",True,False
check_h1_06_future_agent_boundary,H1,handoff_h1_source_review_chapter,6,future_agent_boundary,data/results/thesis_agent_pipeline_upgrade_plan.csv,future_documentation_only,future_documentation_only_no_runtime_activation,"Agentenstatus bleibt `future_documentation_only`: keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken; spaeter nur mit separatem Goal, Tests, bounded inputs, max 50 rows und llm_audit_log.",Agentenideen nur als Future Work notieren; kein Laufzeitpfad im BA-Kern.,"Agentenpipeline darf nur als spaeterer, auditierter Ausblick erscheinen.","Keine Runtime-Agenten, kein MCP, kein Model Routing, keine LLM-Metriken, keine Rohdaten-Prompts, keine Wallet-Adress-Exposition und keine Trading-Pfade.",True,False
check_h2_01_method_interpretation_coverage,H2,handoff_h2_source_review_chapter,1,method_interpretation_coverage,data/results/thesis_source_review_chapter_handoff.csv,covered_artifact_source_package_ready,bounded_draft_ready_coverage_checked,H2: Methoden `method_h2_event_window` und Interpretationen `interpretation_h2_daily_response` sind mit deterministischen Artefakten und Literatur IDs gemappt.,Beim Schreiben Evidence IDs sichtbar halten und keine neuen Claims hinzufuegen.,Bounded Draft erlaubt; finale Zitation bleibt Source-Review-abhaengig.,"Keine Methode oder Interpretation ohne deterministisches Artefakt, Literatur ID und Limitation verwenden.",True,False
check_h2_02_literature_source_review,H2,handoff_h2_source_review_chapter,2,literature_source_review,data/results/thesis_source_review_progress_ledger.csv,manual_source_review_pending,pending_manual_source_review,H2: 5 Ledger-Zeilen; 5 pending; 0 final-ready; Literatur IDs `lit_eventstudy_001; lit_emh_001; zotero_poly_001`.,"Page-/Section-Note, Claim-Support, Blocked-Wording, Citation-Use, Reviewer und Kommentar pro Quelle im Ledger erfassen.",Draft darf Pending-Status zeigen; finale Quellenzitation erst nach vollstaendiger manueller Review.,Keine Quellenstatus-Hochstufung und keine automatische Page Note.,True,False
check_h2_03_result_package_integration,H2,handoff_h2_source_review_chapter,3,result_package_integration,data/results/thesis_result_package_traceability.csv,core_package_ready_for_bounded_draft,bounded_draft_ready_result_package_checked,H2: Nur `T3; F2` als Tabellen/Figuren in den Kern integrieren.,"Caption, Quelle, Limitation und Evidence IDs je Tabelle/Figur pruefen.",Resultate thesis-ready als wenige starke Tabellen/Figuren schreiben; Rohartefakte bleiben Nachweis oder Anhang.,"Keine Rohartefakt-Dumps, keine neuen Kennzahlen und keine zusaetzlichen Tabellen/Figuren ohne aktualisierte Maps.",True,False
check_h2_04_limitation_blocked_wording,H2,handoff_h2_source_review_chapter,4,limitation_blocked_wording,data/results/thesis_source_review_chapter_handoff.csv,wording_guard_required,bounded_draft_ready_wording_guard_required,"H2: Limitation `Tagespreise koennen Intraday-Reaktionstiming nicht identifizieren. | Richtung und Groesse sind Ereignisfensterdiagnostik, keine Intraday-Kausalschaetzung. | Tagesdaten stuetzen keine Intraday-Reaktionsgeschwindigkeitsclaims. | Eventauswahl und Tagesfrequenz begrenzen die Interpretation. | Die Abbildung darf nicht als Intraday-Reaktionsnachweis gelesen werden.`; blocked wording `Intraday-Geschwindigkeitsaussage | post-hoc Ereignisauswahl | sofortige Marktreaktion | kausaler Ereignisbeweis`.",Kapitelabschnitt gegen Limitation und blockiertes Wording pruefen.,Nur bounded wording verwenden und Limitation im Kapitel sichtbar halten.,"Keine Universal-, Intraday-, Kausalitaets-, Private-Information-, Profitabilitaets- oder Tradeability-Claims.",True,False
