case_id,case_type,pattern_label,feature_status,fact_source,reason,evidence_status,claim_scope,requires_human_review
iran_cluster_2026_bubblemaps_reported,reported_cluster,large_trade_flow,unknown,unknown,large-flow status requires explicit source label or relative volume computation,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,market_concentration,triggered,reported,reference text maps to politics/geopolitics theme,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,event_proximity,triggered,reported,public reporting describes timing before developments,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,fresh_wallet_or_short_history,unknown,unknown,requires wallet creation or first-seen data,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,cluster_link_reported,triggered,reported,reported_linked_accounts=9,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,shared_funding_reported,triggered,reported,reference text reports funding timing or CEX routing,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,high_reported_win_rate,triggered,reported,reported_win_rate=0.98,source_checked,reported_reference_case_only,True
iran_cluster_2026_bubblemaps_reported,reported_cluster,same_theme_repeated_positions,triggered,reported,reference text reports repeated same-theme positions,source_checked,reported_reference_case_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,large_trade_flow,triggered,reported,reported_amount_usd=103248,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,market_concentration,triggered,reported,reference text maps to politics/geopolitics theme,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,event_proximity,unknown,unknown,requires timestamped event mapping,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,fresh_wallet_or_short_history,unknown,unknown,requires wallet creation or first-seen data,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,cluster_link_reported,unknown,unknown,,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,shared_funding_reported,unknown,unknown,requires funding graph data,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,high_reported_win_rate,unknown,unknown,,source_checked,large_flow_reference_only,True
adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,same_theme_repeated_positions,unknown,unknown,requires full position history,source_checked,large_flow_reference_only,True
