summary_id,summary_type,label,metric,value,source_artifact,allowed_interpretation,limitation,claim_scope
monitor_v2_validation_status,validation,recorded_input_scoring,validation_status,pass,data\results\monitor_v2_recorded_scoring_validation_report.json,Recorded input files passed deterministic validation before scoring.,"Validation confirms file-contract consistency, not live data completeness.",bounded_monitor_summary_only
monitor_v2_snapshot_count,coverage,recorded_scoring_snapshots,snapshot_count,3394,data\results\monitor_v2_recorded_scoring_metadata.json,The recorded scoring run produced a bounded daily replay panel.,"Replay coverage is daily and file-based, not live or intraday.",bounded_monitor_summary_only
monitor_v2_alert_row_count,coverage,recorded_alert_rows,alert_row_count,3394,data\results\monitor_v2_recorded_scoring_metadata.json,Alert rows are deterministic diagnostics produced from validated inputs.,Row-level alerts remain file-based and should not be pasted into prompts.,bounded_monitor_summary_only
monitor_v2_severity_none,direct_severity_count,none,row_count,2813,data\results\monitor_v2_recorded_alert_rows.csv,Direct severity counts describe recorded monitor diagnostics.,Direct severities are descriptive and do not imply trading action.,bounded_monitor_summary_only
monitor_v2_severity_info,direct_severity_count,info,row_count,334,data\results\monitor_v2_recorded_alert_rows.csv,Direct severity counts describe recorded monitor diagnostics.,Direct severities are descriptive and do not imply trading action.,bounded_monitor_summary_only
monitor_v2_severity_watch,direct_severity_count,watch,row_count,169,data\results\monitor_v2_recorded_alert_rows.csv,Direct severity counts describe recorded monitor diagnostics.,Direct severities are descriptive and do not imply trading action.,bounded_monitor_summary_only
monitor_v2_severity_high,direct_severity_count,high,row_count,78,data\results\monitor_v2_recorded_alert_rows.csv,Direct severity counts describe recorded monitor diagnostics.,Direct severities are descriptive and do not imply trading action.,bounded_monitor_summary_only
monitor_v2_severity_critical,direct_severity_count,critical,row_count,0,data\results\monitor_v2_recorded_alert_rows.csv,Direct severity counts describe recorded monitor diagnostics.,Direct severities are descriptive and do not imply trading action.,bounded_monitor_summary_only
monitor_v2_context_no_event_alert,event_context_label_count,no_event_alert,event_window_row_count,9,data\results\monitor_v2_recorded_context_rows.csv,Event-context labels describe reviewed daily event-window proximity.,"Event proximity is daily context, not same-timestamp reaction-speed evidence.",bounded_monitor_summary_only
monitor_v2_context_context_alert,event_context_label_count,context_alert,event_window_row_count,1,data\results\monitor_v2_recorded_context_rows.csv,Event-context labels describe reviewed daily event-window proximity.,"Event proximity is daily context, not same-timestamp reaction-speed evidence.",bounded_monitor_summary_only
monitor_v2_context_event_watch_candidate,event_context_label_count,event_watch_candidate,event_window_row_count,8,data\results\monitor_v2_recorded_context_rows.csv,Event-context labels describe reviewed daily event-window proximity.,"Event proximity is daily context, not same-timestamp reaction-speed evidence.",bounded_monitor_summary_only
monitor_v2_context_critical_proximity_candidate,event_context_label_count,critical_proximity_candidate,event_window_row_count,3,data\results\monitor_v2_recorded_context_rows.csv,Event-context labels describe reviewed daily event-window proximity.,"Event proximity is daily context, not same-timestamp reaction-speed evidence.",bounded_monitor_summary_only
monitor_v2_family_alert_count_active_wallet_activity,metric_family,active_wallet_activity,alert_count,259,data\results\monitor_v2_recorded_alert_summary.csv,Metric-family counts show which aggregate monitor families generated diagnostics.,Family counts are not source attribution or mechanism evidence.,bounded_monitor_summary_only
monitor_v2_family_alert_count_wallet_tier_activity,metric_family,wallet_tier_activity,alert_count,187,data\results\monitor_v2_recorded_alert_summary.csv,Metric-family counts show which aggregate monitor families generated diagnostics.,Family counts are not source attribution or mechanism evidence.,bounded_monitor_summary_only
monitor_v2_family_alert_count_concentration,metric_family,concentration,alert_count,107,data\results\monitor_v2_recorded_alert_summary.csv,Metric-family counts show which aggregate monitor families generated diagnostics.,Family counts are not source attribution or mechanism evidence.,bounded_monitor_summary_only
monitor_v2_family_alert_count_market_move,metric_family,market_move,alert_count,28,data\results\monitor_v2_recorded_alert_summary.csv,Metric-family counts show which aggregate monitor families generated diagnostics.,Family counts are not source attribution or mechanism evidence.,bounded_monitor_summary_only
monitor_v2_strongest_metric_1,strongest_metric,market_move | absolute_midpoint_change,max_robust_z,20.90921354377445,data\results\monitor_v2_recorded_alert_summary.csv,Strongest metrics indicate where robust-score diagnostics were largest.,"Large robust scores describe unusual recorded values, not cause or future performance.",bounded_monitor_summary_only
monitor_v2_strongest_metric_2,strongest_metric,active_wallet_activity | active_wallets,max_robust_z,16.22745415446632,data\results\monitor_v2_recorded_alert_summary.csv,Strongest metrics indicate where robust-score diagnostics were largest.,"Large robust scores describe unusual recorded values, not cause or future performance.",bounded_monitor_summary_only
monitor_v2_strongest_metric_3,strongest_metric,active_wallet_activity | active_wallets,max_robust_z,6.407662215027655,data\results\monitor_v2_recorded_alert_summary.csv,Strongest metrics indicate where robust-score diagnostics were largest.,"Large robust scores describe unusual recorded values, not cause or future performance.",bounded_monitor_summary_only
