source_id,source_title,source_status,final_citation_readiness,citation_risk,evidence_packet_count,h1_h2_h3_packet_count,method_packet_count,interpretation_packet_count,priority_band,required_review_output,thesis_use_boundary,next_action
lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,needs_full_source_review_before_final_citation,medium,4,3,2,2,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
lit_dm_001,Comparing Predictive Accuracy,skimmed,needs_full_source_review_before_final_citation,medium,2,2,1,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,needs_full_source_review_before_final_citation,medium,4,4,2,2,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
lit_eventstudy_001,Event Studies in Economics and Finance,skimmed,needs_full_source_review_before_final_citation,medium,2,2,1,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
lit_granger_001,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,skimmed,needs_full_source_review_before_final_citation,medium,2,2,1,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_001,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,skimmed,needs_full_source_review_before_final_citation,medium,4,3,3,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,needs_full_source_review_before_final_citation,medium,5,3,2,3,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_003,Can Prediction Markets Beat Polls? What Polymarket Gets Right - and What It Misses,skimmed,not_currently_needed,low,0,0,0,0,not_currently_needed,none_until_source_is_added_to_an_evidence_row,not_used_in_current_thesis_map,No action unless this source becomes mapped to a thesis claim.
zotero_poly_004,Unverified EMH source PDF,rejected,not_currently_needed,low,0,0,0,0,not_currently_needed,none_until_source_is_added_to_an_evidence_row,not_used_in_current_thesis_map,No action unless this source becomes mapped to a thesis claim.
zotero_poly_005,Insider Trading and Prediction Markets,skimmed,needs_full_source_review_before_final_citation,medium,3,3,2,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_006,Makers and Takers: The Economics of the Kalshi Prediction Market,skimmed,needs_full_source_review_before_final_citation,medium,3,0,1,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_007,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,skimmed,needs_full_source_review_before_final_citation,medium,1,1,1,0,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_008,Polymarket Tightens Rules Amid Whale Wallets' $143M Edge - Regulatory Lags Create Trading Window,candidate,not_currently_needed,low,0,0,0,0,not_currently_needed,none_until_source_is_added_to_an_evidence_row,not_used_in_current_thesis_map,No action unless this source becomes mapped to a thesis claim.
zotero_poly_009,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,skimmed,needs_full_source_review_before_final_citation,medium,2,0,1,1,priority_1_method_foundation_review,page_or_section_note_claim_support_check_and_blocked_wording_check,draft_structure_only_until_full_source_review,Review method sections first and record page or section notes before final methodology citation.
zotero_poly_010,PolyBench: 5 of 7 LLMs cannot outperform market with news context,candidate,not_allowed_for_thesis_facing_claims,high,1,0,0,0,blocked_or_future_work_only,metadata_and_relevance_note_only_no_thesis_claim_use,not_allowed_for_thesis_facing_claims,Do not use for thesis-facing claims unless metadata and status are re-reviewed.
