h1_followup_id,review_order,source_id,source_title,source_status,source_priority_order,evidence_id,item_type,deterministic_artifact,selected_table,selected_figure,access_route,review_source_locator,manual_locator_task_de,current_review_status,page_or_section_note_status,claim_support_decision,blocked_wording_check,citation_use_decision,final_citation_ready,source_status_change_allowed,required_manual_fields_de,allowed_claim_scope_de,blocked_wording_check_de,next_action_de,guardrail_de
h1_followup_01_lit_brier_001__method_h1_brier_dm,1,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,method_h1_brier_dm,method,data/results/thesis_h1_summary.csv,T2,F1,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_02_lit_brier_001__interpretation_h1_bounded_advantage,2,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,interpretation_h1_bounded_advantage,interpretation,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_03_lit_brier_001__interpretation_h1_broad_claim_not_proven,3,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,1,interpretation_h1_broad_claim_not_proven,interpretation,data/results/h1_forecast_quality_synthesis.csv,T2,F1,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_04_lit_dm_001__method_h1_brier_dm,4,lit_dm_001,Comparing Predictive Accuracy,skimmed,2,method_h1_brier_dm,method,data/results/thesis_h1_summary.csv,T2,F1,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_05_lit_dm_001__interpretation_h1_bounded_advantage,5,lit_dm_001,Comparing Predictive Accuracy,skimmed,2,interpretation_h1_bounded_advantage,interpretation,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_06_lit_emh_001__method_h1_brier_dm,6,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,3,method_h1_brier_dm,method,data/results/thesis_h1_summary.csv,T2,F1,external_locator_review,https://doi.org/10.2307/2325486,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_07_lit_emh_001__interpretation_h1_broad_claim_not_proven,7,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,3,interpretation_h1_broad_claim_not_proven,interpretation,data/results/h1_forecast_quality_synthesis.csv,T2,F1,external_locator_review,https://doi.org/10.2307/2325486,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_08_zotero_poly_002__method_h1_brier_dm,8,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,method_h1_brier_dm,method,data/results/thesis_h1_summary.csv,T2,F1,local_pdf_review,https://arxiv.org/abs/2507.08921,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_09_zotero_poly_002__interpretation_h1_bounded_advantage,9,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,interpretation_h1_bounded_advantage,interpretation,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,local_pdf_review,https://arxiv.org/abs/2507.08921,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
h1_followup_10_zotero_poly_002__interpretation_h1_broad_claim_not_proven,10,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,7,interpretation_h1_broad_claim_not_proven,interpretation,data/results/h1_forecast_quality_synthesis.csv,T2,F1,local_pdf_review,https://arxiv.org/abs/2507.08921,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,pending_page_or_section_note,pending,pending,blocked_pending_manual_review,False,False,"Reviewer muss Page-/Section-Note, Claim-Support, Blocked-Wording und Citation-Use manuell erfassen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen.","H1 bleibt bounded: keine Quellenstatus-Hochstufung, keine finale Zitation, keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur mit separatem Goal, max 50 rows, Tests und llm_audit_log."
