note_id,thesis_area,section_id,source_id,evidence_id,item_type,selected_table,selected_figure,deterministic_artifact,access_route,structure_inventory_status,review_focus_de,bounded_claim_check_de,blocked_wording_check_de,manual_locator_task_de,reviewer_page_or_section_note,reviewer_claim_support_decision,reviewer_blocked_wording_check,final_citation_gate,note_status,do_not_claim_de,next_action_de
note_h1_lit_brier_001__interpretation_h1_bounded_advantage,H1,core_section_h1,lit_brier_001,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_bounded_advantage` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_brier_001__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,lit_brier_001,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_broad_claim_not_proven` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_brier_001__method_h1_brier_dm,H1,core_section_h1,lit_brier_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Methodenwahl `method_h1_brier_dm` als Literaturanker tragen kann.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_dm_001__interpretation_h1_bounded_advantage,H1,core_section_h1,lit_dm_001,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_bounded_advantage` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_dm_001__method_h1_brier_dm,H1,core_section_h1,lit_dm_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Methodenwahl `method_h1_brier_dm` als Literaturanker tragen kann.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_emh_001__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,lit_emh_001,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_broad_claim_not_proven` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_lit_emh_001__method_h1_brier_dm,H1,core_section_h1,lit_emh_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,external_only,"H1: Pruefen, ob die Quelle die Methodenwahl `method_h1_brier_dm` als Literaturanker tragen kann.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.","Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_zotero_poly_002__interpretation_h1_bounded_advantage,H1,core_section_h1,zotero_poly_002,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,local_pdf_review,local_pdf_structure_available,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_bounded_advantage` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.",Nur bounded pruefen: Evidence ID `interpretation_h1_bounded_advantage`; Claim/Entscheid `A bounded Polymarket advantage is supported in selected late and compatible poll-comparison scopes.`; erlaubtes Wording `bounded H1 support in defined scope`; zwingende Limitation `The full state-date panel and other scopes remain counterexamples to the broad claim.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung.",Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_zotero_poly_002__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,zotero_poly_002,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,local_pdf_review,local_pdf_structure_available,"H1: Pruefen, ob die Quelle die Interpretationsgrenze `interpretation_h1_broad_claim_not_proven` stuetzt, ohne ueber das deterministische Artefakt hinauszugehen.","Nur bounded pruefen: Evidence ID `interpretation_h1_broad_claim_not_proven`; Claim/Entscheid `The broad claim that Polymarket generally beats traditional sources is not proven.`; erlaubtes Wording `mixed H1 evidence; broad superiority not proven`; zwingende Limitation `The available evidence mixes daily rows, state outcomes, transformed polls, and source-specific scopes.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.","Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: allgemeine Ueberlegenheit; universelle Prognosedominanz.",Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
note_h1_zotero_poly_002__method_h1_brier_dm,H1,core_section_h1,zotero_poly_002,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,local_pdf_review,local_pdf_structure_available,"H1: Pruefen, ob die Quelle die Methodenwahl `method_h1_brier_dm` als Literaturanker tragen kann.",Nur bounded pruefen: Evidence ID `method_h1_brier_dm`; Claim/Entscheid `Forecast quality is evaluated with Brier loss and Diebold-Mariano loss-series comparison.`; erlaubtes Wording `forecast-quality comparison; lower Brier loss in the tested overlap window`; zwingende Limitation `Repeated daily rows and one election context limit generalisation.`. Die Quelle darf die lokale Kennzahl nicht ersetzen.,"Pruefen und dokumentieren, dass die Quelle nicht fuer dieses blockierte Wording genutzt wird: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation.",Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,,pending,pending,full_source_review_required_before_final_citation,pending_manual_source_review,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell ausfuehren: Quelle oeffnen, Page-/Section-Note eintragen, Claim-Support auswaehlen und Blocked-Wording-Check abschliessen."
