package_id,package_type,thesis_section,include_in_core_package,thesis_readiness,primary_artifact,primary_artifact_exists,supporting_artifact_count,supporting_artifact_exists_count,linked_evidence_count,linked_evidence_known_count,caption_present,source_note_present,limitation_note_present,package_traceability_status,thesis_use_gate_de
A1,appendix_artifact,future_agents,False,future_work_deferred,docs/research/THESIS_CONSOLIDATION.md,True,1,1,1,1,True,True,True,deferred_package_documentation_only,Nur Future Work oder Appendix; keine finale Zitation als BA-Kernpaket ohne manuelle Review.
F1,figure,H1,True,thesis_facing_ready,data/results/h1_poll_claim_readiness.png,True,1,1,2,2,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
F2,figure,H2,True,thesis_facing_ready,data/results/thesis_h2_event_window_car.png,True,1,1,2,2,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
F3,figure,H3,True,thesis_facing_ready,data/results/thesis_h3_granger_pvalues.png,True,1,1,2,2,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
F4,figure,swiss_referendum,True,descriptive_pending_result,data/results/swiss_referendum_10mio_efficiency.png,True,2,2,2,2,True,True,True,core_package_descriptive_pending_result,Nur beschreibend integrieren; keine finale Zitation bis Resultat-Gate und manuelle Review geschlossen sind.
T1,table,method_and_evidence,True,thesis_facing_ready,data/results/thesis_evidence_map.csv,True,2,2,4,4,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
T2,table,H1,True,thesis_facing_ready,data/results/thesis_core_results_table.csv,True,2,2,3,3,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
T3,table,H2,True,thesis_facing_ready,data/results/h2_event_window_summary.csv,True,1,1,2,2,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
T4,table,H3,True,thesis_facing_ready,data/results/thesis_h3_summary.csv,True,2,2,3,3,True,True,True,core_package_ready_for_draft,In BA-Entwurf nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Quellen-/Resultat-Gates.
T5,table,appendix_or_side_track,True,mixed_appendix_and_pending,data/results/thesis_core_results_table.csv,True,2,2,4,4,True,True,True,core_package_mixed_appendix_pending,Als Status-/Grenztabelle nutzbar; keine finale Zitation ohne manuelle Review und sichtbare Monitor-/Swiss-Limits.
