coverage_id,evidence_id,thesis_area,item_type,thesis_readiness,source_id,source_known_in_literature_index,source_status,source_relevance,final_citation_readiness,primary_artifact,primary_artifact_exists,supporting_artifact_count,supporting_artifact_exists_count,limitation_present,coverage_status,thesis_use_gate_de
coverage_001_interpretation_h1_bounded_advantage_lit_brier_001,interpretation_h1_bounded_advantage,H1,interpretation,thesis_facing_ready,lit_brier_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_poll_claim_readiness_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_002_interpretation_h1_bounded_advantage_lit_dm_001,interpretation_h1_bounded_advantage,H1,interpretation,thesis_facing_ready,lit_dm_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_poll_claim_readiness_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_003_interpretation_h1_bounded_advantage_zotero_poly_002,interpretation_h1_bounded_advantage,H1,interpretation,thesis_facing_ready,zotero_poly_002,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_poll_claim_readiness_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_004_interpretation_h1_broad_claim_not_proven_lit_brier_001,interpretation_h1_broad_claim_not_proven,H1,interpretation,thesis_facing_ready,lit_brier_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_forecast_quality_synthesis.csv,True,1,1,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_005_interpretation_h1_broad_claim_not_proven_zotero_poly_002,interpretation_h1_broad_claim_not_proven,H1,interpretation,thesis_facing_ready,zotero_poly_002,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_forecast_quality_synthesis.csv,True,1,1,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_006_interpretation_h1_broad_claim_not_proven_lit_emh_001,interpretation_h1_broad_claim_not_proven,H1,interpretation,thesis_facing_ready,lit_emh_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h1_forecast_quality_synthesis.csv,True,1,1,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_007_method_h1_brier_dm_lit_brier_001,method_h1_brier_dm,H1,method,thesis_facing_ready,lit_brier_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h1_summary.csv,True,3,3,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_008_method_h1_brier_dm_lit_dm_001,method_h1_brier_dm,H1,method,thesis_facing_ready,lit_dm_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h1_summary.csv,True,3,3,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_009_method_h1_brier_dm_lit_emh_001,method_h1_brier_dm,H1,method,thesis_facing_ready,lit_emh_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h1_summary.csv,True,3,3,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_010_method_h1_brier_dm_zotero_poly_002,method_h1_brier_dm,H1,method,thesis_facing_ready,zotero_poly_002,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h1_summary.csv,True,3,3,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_011_interpretation_h2_daily_response_lit_eventstudy_001,interpretation_h2_daily_response,H2,interpretation,thesis_facing_ready,lit_eventstudy_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h2_event_window_summary.csv,True,1,1,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_012_interpretation_h2_daily_response_lit_emh_001,interpretation_h2_daily_response,H2,interpretation,thesis_facing_ready,lit_emh_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h2_event_window_summary.csv,True,1,1,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_013_method_h2_event_window_lit_eventstudy_001,method_h2_event_window,H2,method,thesis_facing_ready,lit_eventstudy_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h2_event_window_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_014_method_h2_event_window_lit_emh_001,method_h2_event_window,H2,method,thesis_facing_ready,lit_emh_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h2_event_window_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_015_method_h2_event_window_zotero_poly_001,method_h2_event_window,H2,method,thesis_facing_ready,zotero_poly_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h2_event_window_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
