ledger_id,note_id,thesis_area,section_id,source_id,evidence_id,item_type,selected_table,selected_figure,deterministic_artifact,access_route,manual_locator_task_de,review_status,page_or_section_note,claim_support_decision,blocked_wording_check,citation_use_decision,reviewed_by,reviewed_at,review_comment_de,review_progress_state,source_status_change_allowed,final_citation_ready,preserved_manual_fields,do_not_claim_de,next_action_de
ledger_h1_lit_brier_001__interpretation_h1_bounded_advantage,note_h1_lit_brier_001__interpretation_h1_bounded_advantage,H1,core_section_h1,lit_brier_001,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_brier_001__interpretation_h1_broad_claim_not_proven,note_h1_lit_brier_001__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,lit_brier_001,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_brier_001__method_h1_brier_dm,note_h1_lit_brier_001__method_h1_brier_dm,H1,core_section_h1,lit_brier_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_dm_001__interpretation_h1_bounded_advantage,note_h1_lit_dm_001__interpretation_h1_bounded_advantage,H1,core_section_h1,lit_dm_001,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_dm_001__method_h1_brier_dm,note_h1_lit_dm_001__method_h1_brier_dm,H1,core_section_h1,lit_dm_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_emh_001__interpretation_h1_broad_claim_not_proven,note_h1_lit_emh_001__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,lit_emh_001,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_lit_emh_001__method_h1_brier_dm,note_h1_lit_emh_001__method_h1_brier_dm,H1,core_section_h1,lit_emh_001,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_zotero_poly_002__interpretation_h1_bounded_advantage,note_h1_zotero_poly_002__interpretation_h1_bounded_advantage,H1,core_section_h1,zotero_poly_002,interpretation_h1_bounded_advantage,interpretation,T2,F1,data/results/h1_poll_claim_readiness_summary.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_zotero_poly_002__interpretation_h1_broad_claim_not_proven,note_h1_zotero_poly_002__interpretation_h1_broad_claim_not_proven,H1,core_section_h1,zotero_poly_002,interpretation_h1_broad_claim_not_proven,interpretation,T2,F1,data/results/h1_forecast_quality_synthesis.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h1_zotero_poly_002__method_h1_brier_dm,note_h1_zotero_poly_002__method_h1_brier_dm,H1,core_section_h1,zotero_poly_002,method_h1_brier_dm,method,T2,F1,data/results/thesis_h1_summary.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
