worksheet_id,source_id,priority_order,source_title,source_status,priority_band,citation_risk,thesis_area_focus,linked_evidence_ids,method_packet_count,interpretation_packet_count,must_confirm,must_not_claim,review_source_locator,local_file_registered,reviewer_page_or_section_note,reviewer_decision,reviewer_notes
source_review_01_zotero_poly_001,zotero_poly_001,1,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,skimmed,priority_1_method_foundation_review,medium,H2; H3; monitor_prototype,method_h2_event_window; interpretation_h3_top_tier_signal; method_h3_wallet_tiers; method_monitor_prototype,3,1,daily event-window response around pre-curated public events; top-tier timing pattern; predictive diagnostic; dataset-relative wallet tiers; deterministic human-review cue; prototype monitor,intraday speed claim; post-hoc event selection; private-information proof; causal misconduct; tradable strategy; arbitrary whale threshold; identified private-information wallets; thesis evidence before review; private information proof; trading signal,https://arxiv.org/abs/2603.03136,True,,pending,
source_review_02_zotero_poly_002,zotero_poly_002,2,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,priority_1_method_foundation_review,medium,H1; swiss_referendum,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven; method_h1_brier_dm; interpretation_swiss_gap_pending; method_swiss_running_comparison,2,3,bounded H1 support in defined scope; mixed H1 evidence; broad superiority not proven; forecast-quality comparison; lower Brier loss in the tested overlap window; running descriptive divergence against poll proxy; descriptive poll-proxy comparison before final result,Polymarket is always better; many-election proof; causal explanation; general superiority; universal forecast dominance; reaction speed proof; broad market superiority proof; RCP probability claim without transformation; final accuracy result; efficiency proof before the vote result; mispricing proof; final efficiency conclusion; trade signal,https://arxiv.org/abs/2507.08921,True,,pending,
source_review_03_lit_brier_001,lit_brier_001,3,Verification of Forecasts Expressed in Terms of Probability,skimmed,priority_1_method_foundation_review,medium,H1; swiss_referendum,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven; method_h1_brier_dm; method_swiss_running_comparison,2,2,bounded H1 support in defined scope; mixed H1 evidence; broad superiority not proven; forecast-quality comparison; lower Brier loss in the tested overlap window; descriptive poll-proxy comparison before final result,Polymarket is always better; many-election proof; causal explanation; general superiority; universal forecast dominance; reaction speed proof; broad market superiority proof; RCP probability claim without transformation; mispricing proof; final efficiency conclusion; trade signal,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,False,,pending,
source_review_04_lit_emh_001,lit_emh_001,4,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,priority_1_method_foundation_review,medium,H1; H2,interpretation_h1_broad_claim_not_proven; method_h1_brier_dm; interpretation_h2_daily_response; method_h2_event_window,2,2,mixed H1 evidence; broad superiority not proven; forecast-quality comparison; lower Brier loss in the tested overlap window; visible daily event-window movement; daily event-window response around pre-curated public events,general superiority; universal forecast dominance; reaction speed proof; broad market superiority proof; RCP probability claim without transformation; instant market reaction; causal event proof; intraday speed claim; post-hoc event selection,https://doi.org/10.2307/2325486,False,,pending,
source_review_05_zotero_poly_005,zotero_poly_005,5,Insider Trading and Prediction Markets,skimmed,priority_1_method_foundation_review,medium,H3,interpretation_h3_top_tier_signal; method_h3_granger_timing; method_h3_wallet_tiers,2,1,top-tier timing pattern; predictive diagnostic; predictive timing diagnostic under model assumptions; dataset-relative wallet tiers,private-information proof; causal misconduct; tradable strategy; causality proof; private information proof; profitability proof; arbitrary whale threshold; identified private-information wallets,https://hanson.gmu.edu/insiderbet.pdf,True,,pending,
source_review_06_lit_dm_001,lit_dm_001,6,Comparing Predictive Accuracy,skimmed,priority_1_method_foundation_review,medium,H1,interpretation_h1_bounded_advantage; method_h1_brier_dm,1,1,bounded H1 support in defined scope; forecast-quality comparison; lower Brier loss in the tested overlap window,Polymarket is always better; many-election proof; causal explanation; reaction speed proof; broad market superiority proof; RCP probability claim without transformation,https://doi.org/10.1080/07350015.1995.10524599,False,,pending,
source_review_07_lit_eventstudy_001,lit_eventstudy_001,7,Event Studies in Economics and Finance,skimmed,priority_1_method_foundation_review,medium,H2,interpretation_h2_daily_response; method_h2_event_window,1,1,visible daily event-window movement; daily event-window response around pre-curated public events,instant market reaction; causal event proof; intraday speed claim; post-hoc event selection,https://www.jstor.org/stable/2729691,False,,pending,
source_review_08_lit_granger_001,lit_granger_001,8,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,skimmed,priority_1_method_foundation_review,medium,H3,interpretation_h3_top_tier_signal; method_h3_granger_timing,1,1,top-tier timing pattern; predictive diagnostic; predictive timing diagnostic under model assumptions,private-information proof; causal misconduct; tradable strategy; causality proof; private information proof; profitability proof,https://doi.org/10.2307/1912791,False,,pending,
source_review_09_zotero_poly_006,zotero_poly_006,9,Makers and Takers: The Economics of the Kalshi Prediction Market,skimmed,priority_1_method_foundation_review,medium,future_agents; monitor_prototype,future_agent_pipeline_guarded; interpretation_monitor_review_queue; method_monitor_prototype,1,1,future audited assistant layer over bounded summaries; human-review workflow and appendix material; deterministic human-review cue; prototype monitor,agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation; causal claim; misconduct claim; efficiency conclusion; profit claim; thesis evidence before review; private information proof; trading signal,https://ssrn.com/abstract=5502658,True,,pending,
source_review_10_zotero_poly_009,zotero_poly_009,10,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,skimmed,priority_1_method_foundation_review,medium,monitor_prototype,interpretation_monitor_review_queue; method_monitor_prototype,1,1,human-review workflow and appendix material; deterministic human-review cue; prototype monitor,causal claim; misconduct claim; efficiency conclusion; profit claim; thesis evidence before review; private information proof; trading signal,https://research.mintventures.fund/2024/10/09/Unveiling-Polymarket-The-Positioning-Expansion-and-Shadows-of-Crypto-Prediction-Markets,True,,pending,
