decision_packet_id,source_id,evidence_id,thesis_area,item_type,source_priority_order,priority_band,access_route,structure_inventory_status,primary_artifact,primary_artifact_exists,draft_use_allowed,final_citation_gate,reviewer_decision,reviewer_page_or_section_note,reviewer_claim_support_decision,required_manual_decision_de,decision_options_de,final_thesis_use_status,do_not_claim_de
decision_lit_brier_001__interpretation_h1_bounded_advantage,lit_brier_001,interpretation_h1_bounded_advantage,H1,interpretation,1,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h1_poll_claim_readiness_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket is always better; many-election proof; causal explanation"
decision_lit_brier_001__interpretation_h1_broad_claim_not_proven,lit_brier_001,interpretation_h1_broad_claim_not_proven,H1,interpretation,1,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h1_forecast_quality_synthesis.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: general superiority; universal forecast dominance"
decision_lit_brier_001__method_h1_brier_dm,lit_brier_001,method_h1_brier_dm,H1,method,1,priority_1_method_foundation_review,external_locator_review,external_only,data/results/thesis_h1_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: reaction speed proof; broad market superiority proof; RCP probability claim without transformation"
decision_lit_dm_001__interpretation_h1_bounded_advantage,lit_dm_001,interpretation_h1_bounded_advantage,H1,interpretation,2,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h1_poll_claim_readiness_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket is always better; many-election proof; causal explanation"
decision_lit_dm_001__method_h1_brier_dm,lit_dm_001,method_h1_brier_dm,H1,method,2,priority_1_method_foundation_review,external_locator_review,external_only,data/results/thesis_h1_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: reaction speed proof; broad market superiority proof; RCP probability claim without transformation"
decision_lit_emh_001__interpretation_h1_broad_claim_not_proven,lit_emh_001,interpretation_h1_broad_claim_not_proven,H1,interpretation,3,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h1_forecast_quality_synthesis.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: general superiority; universal forecast dominance"
decision_lit_emh_001__method_h1_brier_dm,lit_emh_001,method_h1_brier_dm,H1,method,3,priority_1_method_foundation_review,external_locator_review,external_only,data/results/thesis_h1_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: reaction speed proof; broad market superiority proof; RCP probability claim without transformation"
decision_zotero_poly_002__interpretation_h1_bounded_advantage,zotero_poly_002,interpretation_h1_bounded_advantage,H1,interpretation,7,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h1_poll_claim_readiness_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket is always better; many-election proof; causal explanation"
decision_zotero_poly_002__interpretation_h1_broad_claim_not_proven,zotero_poly_002,interpretation_h1_broad_claim_not_proven,H1,interpretation,7,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h1_forecast_quality_synthesis.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: general superiority; universal forecast dominance"
decision_zotero_poly_002__method_h1_brier_dm,zotero_poly_002,method_h1_brier_dm,H1,method,7,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/thesis_h1_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: reaction speed proof; broad market superiority proof; RCP probability claim without transformation"
decision_lit_emh_001__interpretation_h2_daily_response,lit_emh_001,interpretation_h2_daily_response,H2,interpretation,3,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h2_event_window_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: instant market reaction; causal event proof"
