ledger_id,source_id,thesis_area,linked_evidence_ids,review_depth,page_or_section_note,claim_support_decision,blocked_wording_check,citation_use_decision,reviewed_by,reviewed_at,source_status_recommendation,final_citation_ready,needs_student_action
rev_03_lit_brier_001,lit_brier_001,H1,method_h1_brier_dm,knowledge_canonical,Brier-Score Definition/Formel S. 1-3,supported,pass,h1_method_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_06_lit_dm_001,lit_dm_001,H1,method_h1_brier_dm,knowledge_canonical,Teststatistik fuer gleiche Prognosegenauigkeit,supported,pass,h1_method_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_04_lit_emh_001,lit_emh_001,H1;H2,method_h1_brier_dm;method_h2_event_window,knowledge_canonical,Weak/semi-strong/strong-form Abschnitt,supported,pass,framing_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_02_zotero_poly_002,zotero_poly_002,H1;swiss_referendum,interpretation_h1_bounded_advantage;interpretation_h1_broad_claim_not_proven,abstract_fulltext_available,Polymarket ueberlegen 2024 bes. Swing States; Caveats future-work/portability,supported,pass,h1_swiss_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_07_lit_eventstudy_001,lit_eventstudy_001,H2,method_h2_event_window,knowledge_canonical,Estimation/Event-Window + CAR Abschnitt,supported,pass,h2_method_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_01_zotero_poly_001,zotero_poly_001,H2;H3;monitor_prototype,method_h2_event_window;interpretation_h3_top_tier_signal;method_h3_wallet_tiers,abstract_fulltext_available,Volumen-Dekomposition; Marktqualitaet steigt; Oktober-Grosskonto = beide Seiten = heterogene Erwartungen nicht Manipulation,supported,pass,h3_framing_monitor_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_08_lit_granger_001,lit_granger_001,H3,method_h3_granger_timing,knowledge_canonical,Granger-Definition: praediktiv/temporal nicht strukturell-kausal,supported,pass,h3_method_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_05_zotero_poly_005,zotero_poly_005,H3,interpretation_h3_top_tier_signal;method_h3_granger_timing;method_h3_wallet_tiers,fulltext_read,Abschnitt IV Aggregation/Maerkte-vs-Umfragen; III/V Insider rein konzeptionell,supported,pass,h3_framing_h1_context_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_11_zotero_poly_007,zotero_poly_007,H3,method_h3_wallet_tiers,abstract_fulltext_available,Kognitive Biases + hoehere Volatilitaet; Behavioral Finance,supported,pass,h3_context_limitation_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
rev_09_zotero_poly_006,zotero_poly_006,future_agents;monitor_prototype,future_agent_pipeline_guarded;interpretation_monitor_review_queue;method_monitor_prototype,blocked_not_read,SSRN nicht abrufbar; lokale PDF vorhanden,undetermined,not_checked,hold,assistant_blocked,2026-06-16,skimmed,FALSE,STUDENT MUST READ local PDF (SSRN nicht abrufbar)
