worksheet_id,worksheet_order,thesis_area,execution_batch,source_id,source_title,source_status,evidence_id,item_type,access_route,review_source_locator,deterministic_artifact,selected_table,selected_figure,current_review_status,current_claim_support_decision,current_blocked_wording_check,current_citation_use_decision,required_manual_fields_de,page_section_note_target_de,claim_support_target_de,blocked_wording_target_de,citation_use_target_de,reviewer_metadata_target_de,final_gate_de,blocked_actions_de,next_action_de,ready_for_manual_entry,ready_for_final_release
h1_source_review_01_lit_brier_001__method_h1_brier_dm,1,H1,batch_01_h1_forecast_quality_source_review,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,method_h1_brier_dm,method,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_brier_001` fuer `method_h1_brier_dm` (method) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_02_lit_brier_001__interpretation_h1_bounded_advantage,2,H1,batch_01_h1_forecast_quality_source_review,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,interpretation_h1_bounded_advantage,interpretation,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_brier_001` fuer `interpretation_h1_bounded_advantage` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_03_lit_brier_001__interpretation_h1_broad_claim_not_proven,3,H1,batch_01_h1_forecast_quality_source_review,lit_brier_001,Verification of Forecasts Expressed in Terms of Probability,skimmed,interpretation_h1_broad_claim_not_proven,interpretation,external_locator_review,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_brier_001` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_brier_001` fuer `interpretation_h1_broad_claim_not_proven` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_04_lit_dm_001__method_h1_brier_dm,4,H1,batch_01_h1_forecast_quality_source_review,lit_dm_001,Comparing Predictive Accuracy,skimmed,method_h1_brier_dm,method,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_dm_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_dm_001` fuer `method_h1_brier_dm` (method) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_05_lit_dm_001__interpretation_h1_bounded_advantage,5,H1,batch_01_h1_forecast_quality_source_review,lit_dm_001,Comparing Predictive Accuracy,skimmed,interpretation_h1_bounded_advantage,interpretation,external_locator_review,https://doi.org/10.1080/07350015.1995.10524599,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_dm_001` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_dm_001` fuer `interpretation_h1_bounded_advantage` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_06_lit_emh_001__method_h1_brier_dm,6,H1,batch_01_h1_forecast_quality_source_review,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,method_h1_brier_dm,method,external_locator_review,https://doi.org/10.2307/2325486,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_emh_001` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_emh_001` fuer `method_h1_brier_dm` (method) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_07_lit_emh_001__interpretation_h1_broad_claim_not_proven,7,H1,batch_01_h1_forecast_quality_source_review,lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,interpretation_h1_broad_claim_not_proven,interpretation,external_locator_review,https://doi.org/10.2307/2325486,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `lit_emh_001` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `lit_emh_001` fuer `interpretation_h1_broad_claim_not_proven` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_08_zotero_poly_002__method_h1_brier_dm,8,H1,batch_01_h1_forecast_quality_source_review,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,method_h1_brier_dm,method,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/thesis_h1_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `method_h1_brier_dm` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Reaktionsgeschwindigkeitsbeweis; allgemeiner Marktueberlegenheitsbeweis; RCP-Wahrscheinlichkeitsaussage ohne dokumentierte Transformation Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `zotero_poly_002` fuer `method_h1_brier_dm` (method) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_09_zotero_poly_002__interpretation_h1_bounded_advantage,9,H1,batch_01_h1_forecast_quality_source_review,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,interpretation_h1_bounded_advantage,interpretation,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/h1_poll_claim_readiness_summary.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `interpretation_h1_bounded_advantage` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Polymarket ist immer besser; Mehrwahl-Beweis; kausale Erklaerung Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `zotero_poly_002` fuer `interpretation_h1_bounded_advantage` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
h1_source_review_10_zotero_poly_002__interpretation_h1_broad_claim_not_proven,10,H1,batch_01_h1_forecast_quality_source_review,zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,interpretation_h1_broad_claim_not_proven,interpretation,local_pdf_review,https://arxiv.org/abs/2507.08921,data/results/h1_forecast_quality_synthesis.csv,T2,F1,pending_manual_review,pending,pending,blocked_pending_manual_review,"`review_status`, `page_or_section_note`, `claim_support_decision`, `blocked_wording_check`, `citation_use_decision`, `reviewed_by`, `reviewed_at`, `review_comment_de`",Manuell Quelle oeffnen und Page-/Section-Note fuer `zotero_poly_002` / `interpretation_h1_broad_claim_not_proven` eintragen; keine erfundene Seitenzahl.,"Claim-Support manuell setzen: supports_allowed_wording, supports_with_limitation, does_not_support oder needs_more_review.","Blocked-Wording pruefen: keine Reaktionsgeschwindigkeits-, allgemeine Marktueberlegenheits-, RCP-Wahrscheinlichkeits- oder Kausalclaims fuer H1.","Citation-Use erst nach Page-/Section-Note, Claim-Support und Blocked-Wording setzen; pending bleibt sichtbar blockiert.","reviewed_by, reviewed_at und review_comment_de erst nach manueller Quellenpruefung ergaenzen.",Keine finale Zitation vor vollstaendigem manuellem Source Review; keine Quellenstatus-Hochstufung aus diesem Pass.,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: allgemeine Ueberlegenheit; universelle Prognosedominanz Keine finale Zitation, keine Quellenstatus-Hochstufung, keine Runtime-Agenten, keine Rohartefakt-Dumps, max 50 rows und llm_audit_log fuer spaetere Agentenhilfe.","H1: `zotero_poly_002` fuer `interpretation_h1_broad_claim_not_proven` (interpretation) manuell pruefen. Erst nach Page-/Section-Note, Claim-Support und Blocked-Wording-Check darf die row fuer finale Zitation vorbereitet werden. Keine Rohartefakt-Dumps, keine Runtime-Agenten; spaetere Agentenhilfe nur bounded mit max 50 rows und llm_audit_log.",True,False
