source_id,priority_order,source_title,source_status,priority_band,final_citation_readiness,review_source_locator,local_file_registered,local_file_exists,local_file_type,local_file_size_bytes,access_route,review_action_de,do_not_claim_de
lit_brier_001,1,Verification of Forecasts Expressed in Terms of Probability,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,False,False,not_local,0,external_locator_review,Externe DOI/JSTOR/URL pruefen und Seiten-/Abschnittsnotiz manuell eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
lit_dm_001,2,Comparing Predictive Accuracy,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://doi.org/10.1080/07350015.1995.10524599,False,False,not_local,0,external_locator_review,Externe DOI/JSTOR/URL pruefen und Seiten-/Abschnittsnotiz manuell eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
lit_emh_001,3,Efficient Capital Markets: A Review of Theory and Empirical Work,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://doi.org/10.2307/2325486,False,False,not_local,0,external_locator_review,Externe DOI/JSTOR/URL pruefen und Seiten-/Abschnittsnotiz manuell eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
lit_eventstudy_001,4,Event Studies in Economics and Finance,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://www.jstor.org/stable/2729691,False,False,not_local,0,external_locator_review,Externe DOI/JSTOR/URL pruefen und Seiten-/Abschnittsnotiz manuell eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
lit_granger_001,5,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://doi.org/10.2307/1912791,False,False,not_local,0,external_locator_review,Externe DOI/JSTOR/URL pruefen und Seiten-/Abschnittsnotiz manuell eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
zotero_poly_001,6,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://arxiv.org/abs/2603.03136,True,True,pdf,2431006,local_pdf_review,Lokale PDF oeffnen und Seiten-/Abschnittsnotiz in Source Worksheet eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
zotero_poly_002,7,Are Betting Markets Better than Polling in Predicting Political Elections?,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://arxiv.org/abs/2507.08921,True,True,pdf,595923,local_pdf_review,Lokale PDF oeffnen und Seiten-/Abschnittsnotiz in Source Worksheet eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
zotero_poly_005,8,Insider Trading and Prediction Markets,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://hanson.gmu.edu/insiderbet.pdf,True,True,pdf,78496,local_pdf_review,Lokale PDF oeffnen und Seiten-/Abschnittsnotiz in Source Worksheet eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
zotero_poly_006,9,Makers and Takers: The Economics of the Kalshi Prediction Market,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,https://ssrn.com/abstract=5502658,True,True,pdf,965324,local_pdf_review,Lokale PDF oeffnen und Seiten-/Abschnittsnotiz in Source Worksheet eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
zotero_poly_007,10,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,skimmed,priority_1_method_foundation_review,needs_full_source_review_before_final_citation,http://hdl.handle.net/20.500.11956/194870,True,True,pdf,781000,local_pdf_review,Lokale PDF oeffnen und Seiten-/Abschnittsnotiz in Source Worksheet eintragen.,Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note.
