case_id,packet_id,market_slug,question,review_priority,human_review_status,source_check_status,source_context,evidence_status,missing_evidence,next_review_step,allowed_interpretation,blocked_claims,future_mcp_access,future_agent_access,source_queue_artifact
monitor_candidate_20260522_204500_d24c162f8b73,case_review_packet_monitor_candidate_20260522_204500_d24c162f8b73,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_204500_e24668f3f71b,case_review_packet_monitor_candidate_20260522_204500_e24668f3f71b,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_205000_5dbff64bc3b3,case_review_packet_monitor_candidate_20260522_205000_5dbff64bc3b3,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_205000_e02af5d15ac8,case_review_packet_monitor_candidate_20260522_205000_e02af5d15ac8,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_210000_b265c77e872d,case_review_packet_monitor_candidate_20260522_210000_b265c77e872d,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_210500_83136b9f5cbb,case_review_packet_monitor_candidate_20260522_210500_83136b9f5cbb,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_214500_9a6abaddeae0,case_review_packet_monitor_candidate_20260522_214500_9a6abaddeae0,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_215000_ac5932fae4cc,case_review_packet_monitor_candidate_20260522_215000_ac5932fae4cc,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,high,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_204500_759f3661e55c,case_review_packet_monitor_candidate_20260522_204500_759f3661e55c,will-the-iranian-regime-fall-by-the-end-of-2026,Will the Iranian regime fall before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=no_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_204500_f183079f2c3f,case_review_packet_monitor_candidate_20260522_204500_f183079f2c3f,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
