package_id,package_type,thesis_section,title,primary_artifact,supporting_artifacts,evidence_ids,recommended_placement,include_in_core_package,thesis_message,main_limitation,thesis_readiness
T1,table,method_and_evidence,"Method, source, and evidence map",data/results/thesis_evidence_map.csv,data/literature/literature_index.csv; docs/research/RESEARCH_SPEC.md,method_h1_brier_dm; method_h2_event_window; method_h3_wallet_tiers; method_h3_granger_timing,main_text,True,Every thesis-facing method and interpretation is linked to deterministic artifacts and sources.,Some literature rows are skimmed rather than final citation-reviewed.,thesis_facing_ready
T2,table,H1,H1 forecast-quality and poll-comparison result,data/results/thesis_core_results_table.csv,data/results/h1_poll_claim_readiness_summary.csv; data/results/h1_forecast_quality_synthesis.csv,method_h1_brier_dm; interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,main_text,True,"H1 supports a bounded advantage, while the broad claim remains not proven.",Evidence scope differs across comparison units.,thesis_facing_ready
T3,table,H2,H2 daily event-window result,data/results/h2_event_window_summary.csv,data/results/thesis_h2_summary.csv,method_h2_event_window; interpretation_h2_daily_response,main_text,True,Curated public events show daily market movements at the available frequency.,No intraday speed claim.,thesis_facing_ready
T4,table,H3,H3 wallet-tier timing diagnostics,data/results/thesis_h3_summary.csv,data/results/h3_granger_results.csv; data/results/h3_lead_lag_correlations.csv,method_h3_wallet_tiers; method_h3_granger_timing; interpretation_h3_top_tier_signal,main_text,True,Top-tier wallet activity has a deterministic timing pattern under clear limits.,"No causality, private-information, or trading claim.",thesis_facing_ready
T5,table,appendix_or_side_track,Prototype and Swiss side-track boundary table,data/results/thesis_core_results_table.csv,data/results/monitor_anomaly_review_summary.csv; data/results/swiss_referendum_10mio_latest_source_comparison.csv,method_monitor_prototype; interpretation_monitor_review_queue; method_swiss_running_comparison; interpretation_swiss_gap_pending,appendix_or_discussion,True,Monitor and Swiss material are useful but need clear status labels.,Monitor cases need human review; Swiss needs the official result.,mixed_appendix_and_pending
F1,figure,H1,H1 poll-claim readiness,data/results/h1_poll_claim_readiness.png,data/results/h1_poll_claim_readiness_summary.csv,interpretation_h1_bounded_advantage; interpretation_h1_broad_claim_not_proven,main_text,True,Shows supported bounded H1 scope and counterexample scopes in one visual.,Does not turn poll shares into native forecast probabilities beyond documented transforms.,thesis_facing_ready
F2,figure,H2,H2 daily event-window movements,data/results/thesis_h2_event_window_car.png,data/results/h2_event_window_summary.csv,method_h2_event_window; interpretation_h2_daily_response,main_text,True,Shows event-window movement magnitudes for the curated events.,Daily resolution only.,thesis_facing_ready
F3,figure,H3,H3 Granger diagnostic p-values,data/results/thesis_h3_granger_pvalues.png,data/results/h3_granger_results.csv,method_h3_granger_timing; interpretation_h3_top_tier_signal,main_text,True,Shows the wallet-tier timing diagnostic without causal wording.,Multiple-testing and BUY-only limitations stay visible in text.,thesis_facing_ready
F4,figure,swiss_referendum,Swiss referendum running poll-proxy comparison,data/results/swiss_referendum_10mio_efficiency.png,data/results/swiss_referendum_10mio_latest_source_comparison.csv; data/results/swiss_referendum_10mio_comparison.csv,method_swiss_running_comparison; interpretation_swiss_gap_pending,discussion_pending_final_result,True,Shows the running divergence as descriptive context before the vote result.,No final efficiency claim before official result.,descriptive_pending_result
A1,appendix_artifact,future_agents,Deferred agent pipeline design,docs/research/THESIS_CONSOLIDATION.md,docs/research/STRATEGY_AGENT_ARCHITECTURE.md,future_agent_pipeline_guarded,appendix_or_future_work,False,"Agents may later improve review and drafting, but only over bounded audited summaries.",No runtime agents or MCP implementation belongs in the current thesis core.,future_work_deferred
